,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
6, , ,"[TRVch# 24 Dt:04/08/2017] , Billno-KNG11537072017-002",1,44147,15001,530,28616
7, , ,"[TRVch# 26 Dt:04/08/2017] , Billno-KNG115372017100011",1,17810,0,0,17810
8, ,05-2029-00-103-04-S00N-V-N-01-SALARIES,Total,1,91773,26000,1360,64413
9, , ,"[TRVch# 25 Dt:04/08/2017] , Billno-KNG11537072017-003",1,91773,26000,1360,64413
10, ,05-2053-00-093-01-S00N-V-N-01-SALARIES,Total,2,239383,30501,2139,206743
11, , ,"[TRVch# 271 Dt:31/08/2017] , Billno-KNG115372017100013",1,110708,0,0,110708
12, , ,"[TRVch# 31 Dt:04/08/2017] , Billno-KNG11537072017-004",1,128675,30501,2139,96035
13, ,05-2053-00-094-01-S00N-V-N-01-SALARIES,Total,1,70207,34000,5448,30759
14, , ,"[TRVch# 32 Dt:04/08/2017] , Billno-KNG11537072017-005",1,70207,34000,5448,30759
0,Grand Total, , ,5,434652,115002,10113,309537
1,KNG11-537-TEHSILDAR KASWAN KOTLA,Total, ,5,434652,115002,10113,309537
2, ,05-2029-00-103-02-S00N-V-N-01-SALARIES,Total,2,136937,30001,1166,105770
3, , ,"[TRVch# 78 Dt:08/09/2017] , Billno-KNG11537082017-001",1,92019,15000,636,76383
4, , ,"[TRVch# 79 Dt:08/09/2017] , Billno-KNG11537082017-002",1,44918,15001,530,29387
5, ,05-2029-00-103-04-S00N-V-N-01-SALARIES,Total,1,93400,26000,1360,66040
6, , ,"[TRVch# 80 Dt:08/09/2017] , Billno-KNG11537082017-003",1,93400,26000,1360,66040
7, ,05-2053-00-093-01-S00N-V-N-01-SALARIES,Total,1,132873,25001,2139,105733
8, , ,"[TRVch# 102 Dt:08/09/2017] , Billno-KNG11537082017-004",1,132873,25001,2139,105733
9, ,05-2053-00-094-01-S00N-V-N-01-SALARIES,Total,1,71442,34000,5448,31994
10, , ,"[TRVch# 103 Dt:08/09/2017] , Billno-KNG11537082017-005",1,71442,34000,5448,31994
0,Grand Total, , ,11,513951,161295,10113,342543
1,KNG11-537-TEHSILDAR KASWAN KOTLA,Total, ,11,513951,161295,10113,342543
2, ,05-2029-00-103-02-S00N-V-N-01-SALARIES,Total,5,171734,42432,1166,128136
3, , ,"[TRVch# 172 Dt:31/10/2017] , Billno-KNG115372017100020",1,5768,5768,0,0
4, , ,"[TRVch# 173 Dt:31/10/2017] , Billno-KNG115372017100017",1,9411,6663,0,2748
5, , ,"[TRVch# 73 Dt:10/10/2017] , Billno-KNG11537092017-001",1,93106,15000,636,77470
6, , ,"[TRVch# 74 Dt:10/10/2017] , Billno-KNG11537092017-002",1,45639,15001,530,30108
7, , ,"[TRVch# 76 Dt:10/10/2017] , Billno-KNG115372017100016",1,17810,0,0,17810
8, ,05-2029-00-103-04-S00N-V-N-01-SALARIES,Total,2,108258,38216,1360,68682
9, , ,"[TRVch# 174 Dt:31/10/2017] , Billno-KNG115372017100018",1,12216,12216,0,0
10, , ,"[TRVch# 75 Dt:10/10/2017] , Billno-KNG11537092017-003",1,96042,26000,1360,68682
11, ,05-2053-00-093-01-S00N-V-N-01-SALARIES,Total,2,151902,37167,2139,112596
12, , ,"[TRVch# 109 Dt:10/10/2017] , Billno-KNG11537092017-004",1,134892,25001,2139,107752
13, , ,"[TRVch# 254 Dt:31/10/2017] , Billno-KNG115372017100021",1,17010,12166,0,4844
14, ,05-2053-00-094-01-S00N-V-N-01-SALARIES,Total,2,82057,43480,5448,33129
15, , ,"[TRVch# 110 Dt:10/10/2017] , Billno-KNG11537092017-005",1,72577,34000,5448,33129
16, , ,"[TRVch# 253 Dt:31/10/2017] , Billno-KNG115372017100019",1,9480,9480,0,0
0,Grand Total, , ,8,509346,89002,10924,409420
1,KNG11-537-TEHSILDAR KASWAN KOTLA,Total, ,8,509346,89002,10924,409420
2, ,05-2029-00-103-02-S00N-V-N-01-SALARIES,Total,3,157023,30001,666,126356
3, , ,"[TRVch# 163 Dt:30/11/2017] , Billno-KNG115372017100022",1,17810,0,0,17810
4, , ,"[TRVch# 85 Dt:07/11/2017] , Billno-KNG11537102017-001",1,93574,15000,136,78438
5, , ,"[TRVch# 86 Dt:07/11/2017] , Billno-KNG11537102017-002",1,45639,15001,530,30108
6, ,05-2029-00-103-04-S00N-V-N-01-SALARIES,Total,1,96042,14000,860,81182
7, , ,"[TRVch# 87 Dt:07/11/2017] , Billno-KNG11537102017-003",1,96042,14000,860,81182
8, ,05-2053-00-093-01-S00N-V-N-01-SALARIES,Total,2,143312,25001,2139,116172
9, , ,"[TRVch# 122 Dt:07/11/2017] , Billno-KNG11537102017-004",1,134892,25001,2139,107752
