,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
10, ,08-2202-02-109-01-S00N-V-N-02-WAGES,Total,1,6510,0,0,6510
11, , ,"[TRVch# 2990 Dt:31/08/2017] , Billno-MDI052082017100016",1,6510,0,0,6510
12, ,08-2202-02-109-01-S00N-V-N-05-OFFICE EXPENSES,Total,1,4150,0,0,4150
13, , ,"[TRVch# 2989 Dt:31/08/2017] , Billno-MDI052082017100013",1,4150,0,0,4150
0,Grand Total, , ,8,409251,74000,16312,318939
1,MDI05-208-PR SSS KHUDDI,Total, ,8,409251,74000,16312,318939
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,101607,0,9,101598
3, , ,"[TRVch# 1054 Dt:08/09/2017] , Billno-MDI05208082017-001",1,15858,0,0,15858
4, , ,"[TRVch# 1055 Dt:08/09/2017] , Billno-MDI05208082017-002",1,85749,0,9,85740
5, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,4,283484,74000,16303,193181
6, , ,"[TRVch# 1056 Dt:08/09/2017] , Billno-MDI05208082017-003",1,89578,50000,10120,29458
7, , ,"[TRVch# 1057 Dt:08/09/2017] , Billno-MDI05208082017-004",1,66065,24000,2530,39535
8, , ,"[TRVch# 1058 Dt:08/09/2017] , Billno-MDI05208082017-005",1,15858,0,15,15843
9, , ,"[TRVch# 1059 Dt:08/09/2017] , Billno-MDI05208082017-006",1,111983,0,3638,108345
10, ,08-2202-02-109-01-S00N-V-N-02-WAGES,Total,1,6510,0,0,6510
11, , ,"[TRVch# 2993 Dt:22/09/2017] , Billno-MDI052082017100019",1,6510,0,0,6510
12, ,08-2202-02-800-01-S00N-V-N-41-GIA GENERAL (Salary),Total,1,17650,0,0,17650
13, , ,"[TRVch# 3207 Dt:29/09/2017] , Billno-MDI052082017100020",1,17650,0,0,17650
0,Grand Total, , ,14,441916,94408,16926,330582
1,MDI05-208-PR SSS KHUDDI,Total, ,14,441916,94408,16926,330582
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,4,105413,0,9,105404
3, , ,"[TRVch# 3900 Dt:30/10/2017] , Billno-MDI052082017100021",1,1352,0,0,1352
4, , ,"[TRVch# 3901 Dt:30/10/2017] , Billno-MDI052082017100022",1,1650,0,0,1650
5, , ,"[TRVch# 939 Dt:09/10/2017] , Billno-MDI05208092017-001",1,16106,0,0,16106
6, , ,"[TRVch# 940 Dt:09/10/2017] , Billno-MDI05208092017-002",1,86305,0,9,86296
7, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,8,315135,94408,16917,203810
8, , ,"[TRVch# 3902 Dt:30/10/2017] , Billno-MDI052082017100023",1,11848,11848,0,0
9, , ,"[TRVch# 3903 Dt:30/10/2017] , Billno-MDI052082017100026",1,5016,0,496,4520
10, , ,"[TRVch# 3904 Dt:30/10/2017] , Billno-MDI052082017100025",1,1352,0,0,1352
11, , ,"[TRVch# 3911 Dt:30/10/2017] , Billno-MDI052082017100024",1,8560,8560,0,0
12, , ,"[TRVch# 941 Dt:09/10/2017] , Billno-MDI05208092017-003",1,91059,50000,10120,30939
13, , ,"[TRVch# 942 Dt:09/10/2017] , Billno-MDI05208092017-004",1,68024,24000,2530,41494
14, , ,"[TRVch# 943 Dt:09/10/2017] , Billno-MDI05208092017-005",1,16106,0,15,16091
15, , ,"[TRVch# 944 Dt:09/10/2017] , Billno-MDI05208092017-006",1,113170,0,3756,109414
16, ,08-2202-02-109-01-S00N-V-N-03-TRAVEL EXPENSES,Total,1,3718,0,0,3718
17, , ,"[TRVch# 3899 Dt:30/10/2017] , Billno-MDI052082017100027",1,3718,0,0,3718
18, ,08-2202-02-800-01-S00N-V-N-41-GIA GENERAL (Salary),Total,1,17650,0,0,17650
