DDO Code,DDO Name
001,001-COMDT HP AP IBN JUNGA
002,002-COMDT.HOME GUARDS TRG.JUNGA
005,005-S.P.M. Junga .
006,006-Director S.F.S.L.
007,007-AE PWD SUB DIV JUNGA
200,200-GSSS JUNGA
201,201-GSSS KOTI
202,202-GSSS DABLOO
203,203-GSSS PIRAN
204,204-GHS JANAD GHAT
205,205-PRINCIPAL GSSS CHIKHAR
206,206-PRINCIPAL ITI JUNGA
500,500-DISTRICT TREASURY OFFICER SHIMLA
504,504-AC TO DC SHIMLA
506,506-DISTRICT REVENUE OFFICER SHIMLA
509,509-DEPUTY COMMISSIONER STATE TAXES AND EXCISE
510,510-SUPERINTENDENT OF POLICE
520,520-NA
616,"616-E.E. PWD DIVISION-I,SHIMLA"
643,643-EE HPPWD DIVISION 1 BILASPUR
828,828-FOREST DIVISION SHIMLA
950,950-CHIEF ELECTRICAL INSPECTOR
952,952-CONTROLLER PRINTING AND STATIONARY
959,959-NUR INSPECTOR AND CERTIFICATION OFFICER
960,960-SR PLANT PROT. OFFICER SHIMLA
970,970-DIRECTOR COMPOSITE TESTING LAB KANDAGHAT
