,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
8, , ,"[TRVch# 1343 Dt:08/09/2017] , Billno-MDI09212082017-003",1,79712,20000,3060,56652
9, , ,"[TRVch# 1344 Dt:08/09/2017] , Billno-MDI09212082017-004",1,117975,0,10873,107102
10, , ,"[TRVch# 1345 Dt:08/09/2017] , Billno-MDI09212082017-005",1,62598,20000,2060,40538
0,Grand Total, , ,10,424156,60189,26486,337481
1,MDI09-212-PRINCIPAL GSSS BANDHI,Total, ,10,424156,60189,26486,337481
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,4,127439,32862,6458,88119
3, , ,"[TRVch# 1189 Dt:09/10/2017] , Billno-MDI09212092017-001",1,101864,25000,5582,71282
4, , ,"[TRVch# 1190 Dt:09/10/2017] , Billno-MDI09212092017-002",1,16106,0,5,16101
5, , ,"[TRVch# 3779 Dt:24/10/2017] , Billno-MDI092122017100012",1,8733,7862,871,0
6, , ,"[TRVch# 4521 Dt:31/10/2017] , Billno-MDI092122017100018",1,736,0,0,736
7, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,6,296717,27327,20028,249362
8, , ,"[TRVch# 1191 Dt:09/10/2017] , Billno-MDI09212092017-003",1,81026,0,3060,77966
9, , ,"[TRVch# 1192 Dt:09/10/2017] , Billno-MDI09212092017-004",1,119887,0,11039,108848
10, , ,"[TRVch# 1193 Dt:09/10/2017] , Billno-MDI09212092017-005",1,63630,20000,2060,41570
11, , ,"[TRVch# 3780 Dt:24/10/2017] , Billno-MDI092122017100014",1,10284,0,1030,9254
12, , ,"[TRVch# 3781 Dt:24/10/2017] , Billno-MDI092122017100016",1,8144,7327,817,0
13, , ,"[TRVch# 4520 Dt:31/10/2017] , Billno-MDI092122017100017",1,13746,0,2022,11724
0,Grand Total, , ,7,428626,45000,21746,361880
1,MDI09-212-PRINCIPAL GSSS BANDHI,Total, ,7,428626,45000,21746,361880
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,117970,25000,5587,87383
3, , ,"[TRVch# 1222 Dt:08/11/2017] , Billno-MDI09212102017-001",1,101864,25000,5582,71282
4, , ,"[TRVch# 1223 Dt:08/11/2017] , Billno-MDI09212102017-002",1,16106,0,5,16101
5, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,4,275788,20000,16159,239629
6, , ,"[TRVch# 1224 Dt:08/11/2017] , Billno-MDI09212102017-003",1,81026,0,3060,77966
7, , ,"[TRVch# 1225 Dt:08/11/2017] , Billno-MDI09212102017-004",1,119887,0,11039,108848
8, , ,"[TRVch# 1226 Dt:08/11/2017] , Billno-MDI09212102017-005",1,63630,20000,2060,41570
9, , ,"[TRVch# 3599 Dt:30/11/2017] , Billno-MDI092122017100021",1,11245,0,0,11245
10, ,32-2202-01-789-11-S00N-V-P-41-GIA GENERAL (Salary),Total,1,34868,0,0,34868
11, , ,"[TRVch# 3068 Dt:24/11/2017] , Billno-MDI092122017100019",1,34868,0,0,34868
0,Grand Total, , ,5,399113,45000,39603,314510
1,MDI09-212-PRINCIPAL GSSS BANDHI,Total, ,5,399113,45000,39603,314510
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,117970,25000,14491,78479
3, , ,"[TRVch# 958 Dt:06/12/2017] , Billno-MDI09212112017-001",1,101864,25000,5822,71042
4, , ,"[TRVch# 959 Dt:06/12/2017] , Billno-MDI09212112017-002",1,16106,0,8669,7437
5, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,281143,20000,25112,236031
6, , ,"[TRVch# 960 Dt:06/12/2017] , Billno-MDI09212112017-003",1,81026,0,3140,77886
7, , ,"[TRVch# 961 Dt:06/12/2017] , Billno-MDI09212112017-004",1,136487,0,19832,116655
8, , ,"[TRVch# 962 Dt:06/12/2017] , Billno-MDI09212112017-005",1,63630,20000,2140,41490
0,Grand Total, , ,5,399113,45000,24648,329465
1,MDI09-212-PRINCIPAL GSSS BANDHI,Total, ,5,399113,45000,24648,329465
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,117970,25000,7038,85932
3, , ,"[TRVch# 1192 Dt:09/01/2018] , Billno-MDI09212122017-001",1,101864,25000,5582,71282
4, , ,"[TRVch# 1193 Dt:09/01/2018] , Billno-MDI09212122017-002",1,16106,0,1456,14650
5, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,281143,20000,17610,243533
6, , ,"[TRVch# 1194 Dt:09/01/2018] , Billno-MDI09212122017-003",1,81026,0,3060,77966
7, , ,"[TRVch# 1195 Dt:09/01/2018] , Billno-MDI09212122017-004",1,136487,0,12490,123997
8, , ,"[TRVch# 1196 Dt:09/01/2018] , Billno-MDI09212122017-005",1,63630,20000,2060,41570
0,Grand Total, , ,11,1595055,53629,25283,1516143
1,MDI09-212-PRINCIPAL GSSS BANDHI,Total, ,11,1595055,53629,25283,1516143
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,1,1193488,0,0,1193488
3, , ,"[TRVch# 208 Dt:22/02/2018] , Billno-MDI092122017100029",1,1193488,0,0,1193488
4, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,4,125466,29464,7668,88334
5, , ,"[TRVch# 1176 Dt:07/02/2018] , Billno-MDI09212012018-001",1,103096,25000,5582,72514
6, , ,"[TRVch# 1177 Dt:07/02/2018] , Billno-MDI09212012018-002",1,16292,0,1474,14818
7, , ,"[TRVch# 2983 Dt:22/02/2018] , Billno-MDI092122017100023",1,4962,4464,498,0
8, , ,"[TRVch# 2984 Dt:22/02/2018] , Billno-MDI092122017100024",1,1116,0,114,1002
9, ,08-2202-01-800-05-S00N-V-P-41-GIA GENERAL (Salary),Total,1,52719,0,0,52719
10, , ,"[TRVch# 2988 Dt:22/02/2018] , Billno-MDI092122017100028",1,52719,0,0,52719
11, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,5,223382,24165,17615,181602
12, , ,"[TRVch# 1178 Dt:07/02/2018] , Billno-MDI09212012018-003",1,137920,0,12634,125286
13, , ,"[TRVch# 1179 Dt:07/02/2018] , Billno-MDI09212012018-004",1,66322,20000,2060,44262
14, , ,"[TRVch# 2985 Dt:22/02/2018] , Billno-MDI092122017100025",1,8598,0,1278,7320
15, , ,"[TRVch# 2986 Dt:22/02/2018] , Billno-MDI092122017100026",1,4626,4165,461,0
16, , ,"[TRVch# 2987 Dt:22/02/2018] , Billno-MDI092122017100027",1,5916,0,1182,4734
0,Grand Total, , ,18,2714027,253588,102817,2357622
1,MDI09-212-PRINCIPAL GSSS BANDHI,Total, ,18,2714027,253588,102817,2357622
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,4,180040,73612,31563,74865
3, , ,"[TRVch# 1110 Dt:07/03/2018] , Billno-MDI09212022018-001",1,105303,25000,24687,55616
4, , ,"[TRVch# 1111 Dt:07/03/2018] , Billno-MDI09212022018-002",1,16788,0,1474,15314
5, , ,"[TRVch# 3473 Dt:19/03/2018] , Billno-MDI092122017100034",1,54014,48612,5402,0
6, , ,"[TRVch# 3474 Dt:19/03/2018] , Billno-MDI092122017100035",1,3935,0,0,3935
7, ,08-2202-01-800-05-S00N-V-P-41-GIA GENERAL (Salary),Total,3,178050,0,0,178050
8, , ,"[TRVch# 3472 Dt:19/03/2018] , Billno-MDI092122017100030",1,17851,0,0,17851
9, , ,"[TRVch# 3479 Dt:19/03/2018] , Billno-MDI092122017100041",1,142348,0,0,142348
10, , ,"[TRVch# 9063 Dt:31/03/2018] , Billno-MDI092122017100046",1,17851,0,0,17851
11, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,8,572569,179976,71254,321339
12, , ,"[TRVch# 1112 Dt:07/03/2018] , Billno-MDI09212022018-003",1,141742,0,11434,130308
