DDO Code,DDO Name
001,001-S.P.M. UDAIPUR
002,002-S.D.O.(CIVIL) UDAIPUR
003,003-PRINCIPAL ITI UDAIPUR
004,004-AE PWD SUB DIV UDAIPUR
005,005-AE PWD PROJECT SUB DIV UDAIPUR
006,006-AE IPH PROJECT SUB DIV UDAIPUR
200,200-GSSS TINDI
201,201-PR.SR.SEC.SCH. UDAIPUR
202,202-BEEO UDAIPUR
203,203-PR.SR.SEC SCH TRILOKNATH
204,204-GSSS TINGRIT
205,205-HM GHS MOORING
206,206-GSSS MADGRAN
207,207-GSSS THIROT
208,208-GSSS CHIMRET
209,209-PR GSSS SHAKOLI
214,214-PRINCIPAL GDC KUKLUMSARI
329,329-XEN PWD
500,500-DISTRICT TREASURY OFFICER KEYLONG
501,501-DEPUTY COMMISSIONER KEYLONG
505,505-CHIEF MEDICAL OFFICER
509,509-DEPUTY COMMISSIONER STATE TAXES AND EXCISE
510,510-SUPERINTENDENT OF POLICE
629,629-XEN CV UDAIPUR
714,714-XEN IPH KEYLONG
812,812-FOREST DIVISION LHL (KEYLONG)
950,950-CHIEF ELECTRICAL INSPECTOR
952,952-CONTROLLER PRINTING AND STATIONARY
959,959-NUR INSPECTOR AND CERTIFICATION OFFICER
960,960-SR PLANT PROT. OFFICER SHIMLA
970,970-DIRECTOR COMPOSITE TESTING LAB KANDAGHAT
