,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
6, , ,"[TRVch# 2503 Dt:24/08/2017] , Billno-MDI102262017100014",1,1288,0,128,1160
7, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,5,168543,14000,19886,134657
8, , ,"[TRVch# 1414 Dt:09/08/2017] , Billno-MDI10226072017-004",1,50063,0,6033,44030
9, , ,"[TRVch# 1415 Dt:09/08/2017] , Billno-MDI10226072017-005",1,28941,14000,30,14911
10, , ,"[TRVch# 1416 Dt:09/08/2017] , Billno-MDI10226072017-006",1,34351,0,2925,31426
11, , ,"[TRVch# 1417 Dt:09/08/2017] , Billno-MDI10226072017-007",1,55014,0,10898,44116
12, , ,"[TRVch# 3066 Dt:31/08/2017] , Billno-MDI102262017100016",1,174,0,0,174
13, ,08-2202-02-109-01-S00N-V-N-05-OFFICE EXPENSES,Total,1,1000,0,0,1000
14, , ,"[TRVch# 2504 Dt:24/08/2017] , Billno-MDI102262017100015",1,1000,0,0,1000
0,Grand Total, , ,11,308351,26000,37172,245179
1,MDI10-226-GSSS POKHI,Total, ,11,308351,26000,37172,245179
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,4,124688,12000,24633,88055
3, , ,"[TRVch# 1537 Dt:08/09/2017] , Billno-MDI10226082017-001",1,27606,12000,15,15591
4, , ,"[TRVch# 1538 Dt:08/09/2017] , Billno-MDI10226082017-002",1,79448,0,24618,54830
5, , ,"[TRVch# 1539 Dt:08/09/2017] , Billno-MDI10226082017-003",1,17434,0,0,17434
6, , ,"[TRVch# 1628 Dt:08/09/2017] , Billno-MDI102262017100017",1,200,0,0,200
7, ,08-2202-01-800-06-S00N-V-P-41-GIA GENERAL (Salary),Total,1,11700,0,0,11700
8, , ,"[TRVch# 3254 Dt:29/09/2017] , Billno-MDI102262017100021",1,11700,0,0,11700
9, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,6,171963,14000,12539,145424
10, , ,"[TRVch# 1540 Dt:08/09/2017] , Billno-MDI10226082017-004",1,50943,0,6033,44910
11, , ,"[TRVch# 1541 Dt:08/09/2017] , Billno-MDI10226082017-005",1,29423,14000,30,15393
12, , ,"[TRVch# 1542 Dt:08/09/2017] , Billno-MDI10226082017-006",1,35485,0,2980,32505
13, , ,"[TRVch# 1543 Dt:08/09/2017] , Billno-MDI10226082017-007",1,55712,0,3496,52216
14, , ,"[TRVch# 1629 Dt:08/09/2017] , Billno-MDI102262017100018",1,100,0,0,100
15, , ,"[TRVch# 1630 Dt:08/09/2017] , Billno-MDI102262017100020",1,300,0,0,300
0,Grand Total, , ,13,333987,33448,42245,258294
1,MDI10-226-GSSS POKHI,Total, ,13,333987,33448,42245,258294
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,5,139337,15592,26411,97334
3, , ,"[TRVch# 1381 Dt:09/10/2017] , Billno-MDI10226092017-001",1,28055,12000,15,16040
4, , ,"[TRVch# 1382 Dt:09/10/2017] , Billno-MDI10226092017-002",1,80740,0,25446,55294
5, , ,"[TRVch# 1383 Dt:09/10/2017] , Billno-MDI10226092017-003",1,17434,0,0,17434
6, , ,"[TRVch# 3041 Dt:24/10/2017] , Billno-MDI102262017100023",1,9516,0,950,8566
7, , ,"[TRVch# 3042 Dt:24/10/2017] , Billno-MDI102262017100022",1,3592,3592,0,0
8, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,8,194650,17856,15834,160960
9, , ,"[TRVch# 1384 Dt:09/10/2017] , Billno-MDI10226092017-004",1,53303,0,6263,47040
10, , ,"[TRVch# 1385 Dt:09/10/2017] , Billno-MDI10226092017-005",1,29905,14000,30,15875
11, , ,"[TRVch# 1386 Dt:09/10/2017] , Billno-MDI10226092017-006",1,36056,0,4463,31593
12, , ,"[TRVch# 1387 Dt:09/10/2017] , Billno-MDI10226092017-007",1,56310,0,3556,52754
13, , ,"[TRVch# 3037 Dt:24/10/2017] , Billno-MDI102262017100027",1,4730,0,474,4256
14, , ,"[TRVch# 3038 Dt:24/10/2017] , Billno-MDI102262017100026",1,3850,0,384,3466
15, , ,"[TRVch# 3039 Dt:24/10/2017] , Billno-MDI102262017100025",1,3856,3856,0,0
16, , ,"[TRVch# 3040 Dt:24/10/2017] , Billno-MDI102262017100024",1,6640,0,664,5976
0,Grand Total, , ,8,315738,26000,43632,246106
1,MDI10-226-GSSS POKHI,Total, ,8,315738,26000,43632,246106
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,3,126229,12000,25461,88768
3, , ,"[TRVch# 1412 Dt:08/11/2017] , Billno-MDI10226102017-001",1,28055,12000,15,16040
4, , ,"[TRVch# 1413 Dt:08/11/2017] , Billno-MDI10226102017-002",1,80740,0,25446,55294
5, , ,"[TRVch# 1414 Dt:08/11/2017] , Billno-MDI10226102017-003",1,17434,0,0,17434
6, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,5,189509,14000,18171,157338
7, , ,"[TRVch# 1411 Dt:08/11/2017] , Billno-MDI10226102017-006",1,36056,0,8304,27752
8, , ,"[TRVch# 1415 Dt:08/11/2017] , Billno-MDI10226102017-004",1,53303,0,6263,47040
9, , ,"[TRVch# 1416 Dt:08/11/2017] , Billno-MDI10226102017-005",1,29905,14000,30,15875
10, , ,"[TRVch# 1481 Dt:08/11/2017] , Billno-MDI10226102017-007",1,66576,0,3574,63002
11, , ,"[TRVch# 2597 Dt:20/11/2017] , Billno-MDI102262017100028",1,3669,0,0,3669
0,Grand Total, , ,8,320858,26000,44556,250302
1,MDI10-226-GSSS POKHI,Total, ,8,320858,26000,44556,250302
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,4,127054,12000,25905,89149
3, , ,"[TRVch# 1155 Dt:06/12/2017] , Billno-MDI10226112017-001",1,28055,12000,95,15960
4, , ,"[TRVch# 1156 Dt:06/12/2017] , Billno-MDI10226112017-002",1,80740,0,25730,55010
5, , ,"[TRVch# 1157 Dt:06/12/2017] , Billno-MDI10226112017-003",1,17434,0,80,17354
6, , ,"[TRVch# 3370 Dt:30/12/2017] , Billno-MDI102262017100029",1,825,0,0,825
7, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,4,193804,14000,18651,161153
8, , ,"[TRVch# 1158 Dt:06/12/2017] , Billno-MDI10226112017-004",1,53303,0,6343,46960
9, , ,"[TRVch# 1159 Dt:06/12/2017] , Billno-MDI10226112017-005",1,30855,14000,110,16745
10, , ,"[TRVch# 1160 Dt:06/12/2017] , Billno-MDI10226112017-006",1,36056,0,8464,27592
11, , ,"[TRVch# 1161 Dt:06/12/2017] , Billno-MDI10226112017-007",1,73590,0,3734,69856
0,Grand Total, , ,7,320858,26000,41415,253443
1,MDI10-226-GSSS POKHI,Total, ,7,320858,26000,41415,253443
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,3,127054,12000,25585,89469
3, , ,"[TRVch# 1391 Dt:09/01/2018] , Billno-MDI10226122017-001",1,28880,12000,15,16865
4, , ,"[TRVch# 1392 Dt:09/01/2018] , Billno-MDI10226122017-002",1,80740,0,25570,55170
5, , ,"[TRVch# 1393 Dt:09/01/2018] , Billno-MDI10226122017-003",1,17434,0,0,17434
6, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,4,193804,14000,15830,163974
7, , ,"[TRVch# 1394 Dt:09/01/2018] , Billno-MDI10226122017-004",1,53303,0,6263,47040
8, , ,"[TRVch# 1395 Dt:09/01/2018] , Billno-MDI10226122017-005",1,30855,14000,30,16825
9, , ,"[TRVch# 1396 Dt:09/01/2018] , Billno-MDI10226122017-006",1,36056,0,4463,31593
10, , ,"[TRVch# 1397 Dt:09/01/2018] , Billno-MDI10226122017-007",1,73590,0,5074,68516
0,Grand Total, , ,14,372929,30232,43866,298831
1,MDI10-226-GSSS POKHI,Total, ,14,372929,30232,43866,298831
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,6,136592,14038,26563,95991
3, , ,"[TRVch# 1361 Dt:07/02/2018] , Billno-MDI10226012018-001",1,29227,12000,15,17212
4, , ,"[TRVch# 1362 Dt:07/02/2018] , Billno-MDI10226012018-002",1,81710,0,25668,56042
5, , ,"[TRVch# 1363 Dt:07/02/2018] , Billno-MDI10226012018-003",1,17434,0,0,17434
6, , ,"[TRVch# 3208 Dt:22/02/2018] , Billno-MDI102262017100033",1,2038,2038,0,0
7, , ,"[TRVch# 3209 Dt:22/02/2018] , Billno-MDI102262017100034",1,5820,0,880,4940
8, , ,"[TRVch# 4330 Dt:28/02/2018] , Billno-MDI102262017100038",1,363,0,0,363
9, ,08-2202-01-800-06-S00N-V-P-41-GIA GENERAL (Salary),Total,1,1800,0,0,1800
10, , ,"[TRVch# 4328 Dt:28/02/2018] , Billno-MDI102262017100036",1,1800,0,0,1800
11, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,6,208257,16194,17303,174760
12, , ,"[TRVch# 1364 Dt:07/02/2018] , Billno-MDI10226012018-004",1,53945,0,6327,47618
13, , ,"[TRVch# 1365 Dt:07/02/2018] , Billno-MDI10226012018-005",1,31228,14000,30,17198
14, , ,"[TRVch# 1366 Dt:07/02/2018] , Billno-MDI10226012018-006",1,110957,0,9625,101332
15, , ,"[TRVch# 3206 Dt:22/02/2018] , Billno-MDI102262017100030",1,3814,0,571,3243
16, , ,"[TRVch# 3207 Dt:22/02/2018] , Billno-MDI102262017100031",1,2194,2194,0,0
17, , ,"[TRVch# 3210 Dt:22/02/2018] , Billno-MDI102262017100035",1,6119,0,750,5369
18, ,32-2202-01-789-15-S00N-V-P-41-GIA GENERAL (Salary),Total,1,26280,0,0,26280
19, , ,"[TRVch# 4329 Dt:28/02/2018] , Billno-MDI102262017100037",1,26280,0,0,26280
0,Grand Total, , ,12,546066,72063,54810,419193
