,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
33, , ,"[TRVch# 185 Dt:20/06/2017] , Billno-KNG095372017100014",1,12200,0,0,12200
34, ,05-2053-00-094-01-S00N-V-N-01-SALARIES,Total,7,234772,68453,11071,155248
35, , ,"[TRVch# 106 Dt:08/06/2017] , Billno-KNG09537052017-007",1,68713,20000,5060,43653
36, , ,"[TRVch# 107 Dt:08/06/2017] , Billno-KNG09537052017-008",1,133658,27500,6011,100147
37, , ,"[TRVch# 109 Dt:08/06/2017] , Billno-KNG095372017100006",1,7533,7533,0,0
38, , ,"[TRVch# 110 Dt:08/06/2017] , Billno-KNG095372017100007",1,6979,6979,0,0
39, , ,"[TRVch# 111 Dt:08/06/2017] , Billno-KNG095372017100008",1,7962,0,0,7962
40, , ,"[TRVch# 118 Dt:08/06/2017] , Billno-KNG095372017100013",1,6579,3093,0,3486
41, , ,"[TRVch# 119 Dt:08/06/2017] , Billno-KNG095372017100012",1,3348,3348,0,0
0,Grand Total, , ,10,1580022,412250,36182,1131590
1,KNG09-537-TEHSILDAR BAIJNATH,Total, ,10,1580022,412250,36182,1131590
2, ,05-2029-00-103-02-S00N-V-N-01-SALARIES,Total,3,736547,186000,17387,533160
3, , ,"[TRVch# 112 Dt:19/07/2017] , Billno-KNG095372017100022",1,47810,0,0,47810
4, , ,"[TRVch# 69 Dt:10/07/2017] , Billno-KNG09537062017-001",1,532135,186000,8624,337511
5, , ,"[TRVch# 70 Dt:10/07/2017] , Billno-KNG09537062017-002",1,156602,0,8763,147839
6, ,05-2029-00-103-04-S00N-V-N-01-SALARIES,Total,2,331490,41000,5230,285260
7, , ,"[TRVch# 71 Dt:10/07/2017] , Billno-KNG09537062017-003",1,183740,41000,1760,140980
8, , ,"[TRVch# 72 Dt:10/07/2017] , Billno-KNG09537062017-004",1,147750,0,3470,144280
9, ,05-2053-00-093-01-S00N-V-N-01-SALARIES,Total,2,375360,137750,3822,233788
10, , ,"[TRVch# 104 Dt:10/07/2017] , Billno-KNG09537062017-005",1,335794,137750,3792,194252
11, , ,"[TRVch# 105 Dt:10/07/2017] , Billno-KNG09537062017-006",1,39566,0,30,39536
12, ,05-2053-00-093-01-S00N-V-N-02-WAGES,Total,1,6000,0,0,6000
13, , ,"[TRVch# 253 Dt:31/07/2017] , Billno-KNG095372017100023",1,6000,0,0,6000
14, ,05-2053-00-094-01-S00N-V-N-01-SALARIES,Total,2,130625,47500,9743,73382
15, , ,"[TRVch# 106 Dt:10/07/2017] , Billno-KNG09537062017-007",1,68713,20000,5060,43653
16, , ,"[TRVch# 107 Dt:10/07/2017] , Billno-KNG09537062017-008",1,61912,27500,4683,29729
0,Grand Total, , ,12,1627694,429750,54499,1143445
1,KNG09-537-TEHSILDAR BAIJNATH,Total, ,12,1627694,429750,54499,1143445
2, ,05-2029-00-103-02-S00N-V-N-01-SALARIES,Total,3,801516,201000,22921,577595
3, , ,"[TRVch# 113 Dt:18/08/2017] , Billno-KNG095372017100025",1,47810,0,0,47810
4, , ,"[TRVch# 83 Dt:08/08/2017] , Billno-KNG09537072017-001",1,573972,201000,8654,364318
5, , ,"[TRVch# 84 Dt:08/08/2017] , Billno-KNG09537072017-002",1,179734,0,14267,165467
6, ,05-2029-00-103-02-S00N-V-N-03-TRAVEL EXPENSES,Total,1,1392,0,0,1392
7, , ,"[TRVch# 171 Dt:31/08/2017] , Billno-KNG095372017100028",1,1392,0,0,1392
8, ,05-2029-00-103-02-S00N-V-N-05-OFFICE EXPENSES,Total,1,1200,0,0,1200
9, , ,"[TRVch# 172 Dt:31/08/2017] , Billno-KNG095372017100027",1,1200,0,0,1200
10, ,05-2029-00-103-04-S00N-V-N-01-SALARIES,Total,2,331490,43000,17008,271482
11, , ,"[TRVch# 85 Dt:08/08/2017] , Billno-KNG09537072017-003",1,168180,43000,1760,123420
12, , ,"[TRVch# 86 Dt:08/08/2017] , Billno-KNG09537072017-004",1,163310,0,15248,148062
13, ,05-2053-00-093-01-S00N-V-N-01-SALARIES,Total,2,354961,137750,4827,212384
14, , ,"[TRVch# 97 Dt:08/08/2017] , Billno-KNG09537072017-005",1,314784,137750,3001,174033
15, , ,"[TRVch# 98 Dt:08/08/2017] , Billno-KNG09537072017-006",1,40177,0,1826,38351
16, ,05-2053-00-093-01-S00N-V-N-02-WAGES,Total,1,6510,0,0,6510
17, , ,"[TRVch# 162 Dt:18/08/2017] , Billno-KNG095372017100024",1,6510,0,0,6510
18, ,05-2053-00-094-01-S00N-V-N-01-SALARIES,Total,2,130625,48000,9743,72882
19, , ,"[TRVch# 100 Dt:08/08/2017] , Billno-KNG09537072017-008",1,61912,28000,4683,29229
20, , ,"[TRVch# 99 Dt:08/08/2017] , Billno-KNG09537072017-007",1,68713,20000,5060,43653
0,Grand Total, , ,10,1616304,414750,67832,1133722
1,KNG09-537-TEHSILDAR BAIJNATH,Total, ,10,1616304,414750,67832,1133722
2, ,05-2029-00-103-02-S00N-V-N-01-SALARIES,Total,3,781357,186000,26932,568425
3, , ,"[TRVch# 69 Dt:08/09/2017] , Billno-KNG09537082017-001",1,542596,186000,8624,347972
4, , ,"[TRVch# 70 Dt:08/09/2017] , Billno-KNG09537082017-002",1,183073,0,18308,164765
5, , ,"[TRVch# 98 Dt:19/09/2017] , Billno-KNG095372017100029",1,55688,0,0,55688
6, ,05-2029-00-103-04-S00N-V-N-01-SALARIES,Total,2,332006,43000,25012,263994
7, , ,"[TRVch# 71 Dt:08/09/2017] , Billno-KNG09537082017-003",1,165658,43000,1760,120898
8, , ,"[TRVch# 72 Dt:08/09/2017] , Billno-KNG09537082017-004",1,166348,0,23252,143096
9, ,05-2053-00-093-01-S00N-V-N-01-SALARIES,Total,2,361705,137750,6145,217810
10, , ,"[TRVch# 93 Dt:08/09/2017] , Billno-KNG09537082017-005",1,320815,137750,3001,180064
11, , ,"[TRVch# 94 Dt:08/09/2017] , Billno-KNG09537082017-006",1,40890,0,3144,37746
12, ,05-2053-00-093-01-S00N-V-N-02-WAGES,Total,1,6510,0,0,6510
13, , ,"[TRVch# 195 Dt:27/09/2017] , Billno-KNG095372017100030",1,6510,0,0,6510
14, ,05-2053-00-094-01-S00N-V-N-01-SALARIES,Total,2,134726,48000,9743,76983
15, , ,"[TRVch# 95 Dt:08/09/2017] , Billno-KNG09537082017-007",1,69913,20000,5060,44853
16, , ,"[TRVch# 96 Dt:08/09/2017] , Billno-KNG09537082017-008",1,64813,28000,4683,32130
0,Grand Total, , ,14,1719175,448250,66761,1204164
1,KNG09-537-TEHSILDAR BAIJNATH,Total, ,14,1719175,448250,66761,1204164
2, ,05-2029-00-103-02-S00N-V-N-01-SALARIES,Total,4,772323,186000,23954,562369
3, , ,"[TRVch# 125 Dt:20/10/2017] , Billno-KNG095372017100033",1,37810,0,0,37810
4, , ,"[TRVch# 127 Dt:20/10/2017] , Billno-KNG095372017100031",1,15184,0,0,15184
5, , ,"[TRVch# 20 Dt:07/10/2017] , Billno-KNG09537092017-001",1,553025,186000,8624,358401
6, , ,"[TRVch# 21 Dt:07/10/2017] , Billno-KNG09537092017-002",1,166304,0,15330,150974
7, ,05-2029-00-103-02-S00N-V-N-03-TRAVEL EXPENSES,Total,1,1230,0,0,1230
8, , ,"[TRVch# 176 Dt:31/10/2017] , Billno-KNG095372017100037",1,1230,0,0,1230
9, ,05-2029-00-103-04-S00N-V-N-01-SALARIES,Total,3,347180,43000,25278,278902
10, , ,"[TRVch# 126 Dt:20/10/2017] , Billno-KNG095372017100032",1,15184,0,0,15184
11, , ,"[TRVch# 22 Dt:07/10/2017] , Billno-KNG09537092017-003",1,162800,43000,1760,118040
12, , ,"[TRVch# 23 Dt:07/10/2017] , Billno-KNG09537092017-004",1,169196,0,23518,145678
13, ,05-2030-03-001-01-S00N-V-N-01-SALARIES,Total,1,26000,0,0,26000
14, , ,"[TRVch# 132 Dt:20/10/2017] , Billno-KNG095372017100035",1,26000,0,0,26000
15, ,05-2053-00-093-01-S00N-V-N-01-SALARIES,Total,2,367468,141250,6145,220073
16, , ,"[TRVch# 35 Dt:07/10/2017] , Billno-KNG09537092017-005",1,326197,141250,3001,181946
17, , ,"[TRVch# 36 Dt:07/10/2017] , Billno-KNG09537092017-006",1,41271,0,3144,38127
18, ,05-2053-00-093-01-S00N-V-N-02-WAGES,Total,1,6300,0,0,6300
19, , ,"[TRVch# 156 Dt:20/10/2017] , Billno-KNG095372017100034",1,6300,0,0,6300
20, ,05-2053-00-094-01-S00N-V-N-01-SALARIES,Total,2,198674,78000,11384,109290
21, , ,"[TRVch# 37 Dt:07/10/2017] , Billno-KNG09537092017-007",1,71063,20000,5060,46003
22, , ,"[TRVch# 38 Dt:07/10/2017] , Billno-KNG09537092017-008",1,127611,58000,6324,63287
0,Grand Total, , ,20,1878854,561156,71430,1246268
1,KNG09-537-TEHSILDAR BAIJNATH,Total, ,20,1878854,561156,71430,1246268
2, ,05-2029-00-103-02-S00N-V-N-01-SALARIES,Total,5,839360,219637,25698,594025
3, , ,"[TRVch# 112 Dt:18/11/2017] , Billno-KNG095372017100048",1,37810,0,0,37810
4, , ,"[TRVch# 115 Dt:18/11/2017] , Billno-KNG095372017100038",1,57845,51637,0,6208
5, , ,"[TRVch# 116 Dt:18/11/2017] , Billno-KNG095372017100039",1,20716,0,1524,19192
6, , ,"[TRVch# 81 Dt:07/11/2017] , Billno-KNG09537102017-001",1,554429,168000,8624,377805
7, , ,"[TRVch# 82 Dt:07/11/2017] , Billno-KNG09537102017-002",1,168560,0,15550,153010
8, ,05-2029-00-103-02-S00N-V-N-05-OFFICE EXPENSES,Total,2,2462,0,0,2462
9, , ,"[TRVch# 113 Dt:18/11/2017] , Billno-KNG095372017100049",1,448,0,0,448
10, , ,"[TRVch# 114 Dt:18/11/2017] , Billno-KNG095372017100046",1,2014,0,0,2014
11, ,05-2029-00-103-04-S00N-V-N-01-SALARIES,Total,4,366820,51301,27867,287652
12, , ,"[TRVch# 117 Dt:18/11/2017] , Billno-KNG095372017100040",1,7301,7301,0,0
13, , ,"[TRVch# 118 Dt:18/11/2017] , Billno-KNG095372017100041",1,21104,0,2120,18984
14, , ,"[TRVch# 83 Dt:07/11/2017] , Billno-KNG09537102017-003",1,164307,44000,1760,118547
15, , ,"[TRVch# 84 Dt:07/11/2017] , Billno-KNG09537102017-004",1,174108,0,23987,150121
16, ,05-2053-00-093-01-S00N-V-N-01-SALARIES,Total,4,433479,186739,6481,240259
17, , ,"[TRVch# 118 Dt:07/11/2017] , Billno-KNG09537102017-005",1,344579,145250,3001,196328
18, , ,"[TRVch# 119 Dt:07/11/2017] , Billno-KNG09537102017-006",1,42167,0,3232,38935
19, , ,"[TRVch# 166 Dt:18/11/2017] , Billno-KNG095372017100042",1,41489,41489,0,0
20, , ,"[TRVch# 167 Dt:18/11/2017] , Billno-KNG095372017100043",1,5244,0,248,4996
21, ,05-2053-00-093-01-S00N-V-N-02-WAGES,Total,1,6510,0,0,6510
22, , ,"[TRVch# 163 Dt:18/11/2017] , Billno-KNG095372017100050",1,6510,0,0,6510
23, ,05-2053-00-094-01-S00N-V-N-01-SALARIES,Total,4,230223,103479,11384,115360
24, , ,"[TRVch# 120 Dt:07/11/2017] , Billno-KNG09537102017-007",1,71063,20000,5060,46003
25, , ,"[TRVch# 121 Dt:07/11/2017] , Billno-KNG09537102017-008",1,127611,58000,6324,63287
26, , ,"[TRVch# 164 Dt:18/11/2017] , Billno-KNG095372017100044",1,9064,9064,0,0
27, , ,"[TRVch# 165 Dt:18/11/2017] , Billno-KNG095372017100045",1,22485,16415,0,6070
0,Grand Total, , ,10,1657816,440250,98163,1119403
1,KNG09-537-TEHSILDAR BAIJNATH,Total, ,10,1657816,440250,98163,1119403
2, ,05-2029-00-103-02-S00N-V-N-01-SALARIES,Total,2,724214,168000,26014,530200
3, , ,"[TRVch# 55 Dt:06/12/2017] , Billno-KNG09537112017-001",1,505979,168000,9504,328475
