DDO Code,DDO Name
001,001-SUB-POST MASTER BHALEI
002,002-AE PWD SUB DIV BHALEI
003,003-AE IPH SUBDIV BHALEI
200,200-PR GSSS TELKA
201,201-PR GSSS MALAL
202,202-PR GSSS BHALEI
203,203-GSSS BAGGI
204,204-PR GSSS SUNDLA
205,205-BEEO SUNDLA
206,206-GSSS BHUNAD
207,207-GSSS ATHER
208,208-PR GSSS SIMNI
209,209-GSSS PAJJA
210,210-GSSS LIGGA
211,211-PRINCIPAL GSSS BAJHOTRA
212,212-PRINCIPAL GSSS NADAL
213,213-PRINCIPAL ITI LACHORI
214,214-PR GOVT DEGREE COLLEGE TELKA
215,215-PRINCIPAL GOVT DEGREE COLLEGE BHALIE
500,500-DISTRICT TREASURY OFFICER CHAMBA
509,509-DEPUTY COMMISSIONER STATE TAXES AND EXCISE
510,510-SUPERINTENDENT OF POLICE   
525,525-DY. DIR. AGRICULTURE
529,529-CONTROLLER (FCS&CA) CHAMBA
537,537-TEHSILDAR BHALIE
631,631-E.E.H.P.P.W.D.SALOONI
707,707-ASST.EAG.IPH.SUB DIV.BHALEI.
838,838-FOREST DIVISION CHURAH
950,950-CHIEF ELECTRICAL INSPECTOR
952,952-CONTROLLER PRINTING AND STATIONARY
959,959-NUR INSPECTOR AND CERTIFICATION OFFICER
960,960-SR PLANT PROT. OFFICER SHIMLA
970,970-DIRECTOR COMPOSITE TESTING LAB KANDAGHAT
