DDO Code,DDO Name
001,001-SUB JUDGE ROHRU
002,002-S.D.O.(CIVIL) ROHRU
003,003-M.O. RORHU
004,004-B.D.O. ROHRU
005,005-B.D.O. CHHOHARA
007,007-E.O. P.S. ROHRU
008,008-A.P.P. ROHRU
009,009-ASSTT ENGG. DEVELOPMENT(ROHRU)
010,"010-ASSTT.SOIL CONS.OFFICER,ROHRU"
011,011-PRESIDENT N.A.C. ROHRU
012,012-CIVIL JUDGE (JR DIVISION-II) ROHRU
013,013-C.D.P.O. ROHRU
014,014-S E 14 CIRCLE HPPWD ROHRU
015,015-S.E. IPH ROHROO
017,017-SUBDIV. AYUR. MED. OFFI. ROHRU
018,018-S.P.M. Rohru
019,019-AE IPH SUB DIV ROHRU
020,020-AE PWD SUB DIV ROHRU
021,021-SUBJECT MATTER SPECIALIST HORTICULTURE ROHRU
022,022-TOWN PLANNING OFFICE ROHRU
086,086-D.D. (HORT.) EAST SHIMLA
200,200-BEEO ROHRU
202,202-GSSS ROHRU BOYS
203,203-GSSS ROHRU GIRLS
204,204-GSSS ARAHAL
205,205-GSSS BACHHUNCH
206,206-GSSS SUMMERKOT
207,207-PR SSS MELTHI
208,208-GSSS LOWER KOTI
209,209-GSSS BALOON
210,210-GHS MACHOTI ROHRU
211,211-GSSS SAMOLI
212,212-PR GOVT. POLYTECHNIC
213,213-GSSS SHEEL
214,214-GSSS KUTARA
215,215-PR GD COLLEGE ROHRU (SEEMA)
216,216-HM GHS SHEKHAL
217,217-HM GHS KALOTI
218,218-GSSS KARASA
219,219-GSSS pujarli-4
220,220-HM GHS BALSA
221,221-GHS SEEMA
222,222-PR COLLEGE OF PHARMACY ROHRU
223,223-HM GHS BHAMNOLI
224,224-GSSS Dalgaon
225,225-HM GHS Sundernagar
226,226-GSSS BARTOO
227,227-GSSS Jharag Nakrari
228,228-PRINCIPAL GSSS JHARKOT-SARAS
500,500-DISTRICT TREASURY OFFICER SHIMLA
504,504-AC TO DC SHIMLA
505,505-CHIEF MEDICAL OFFICER
506,506-DISTRICT REVENUE OFFICER SHIMLA
509,509-DEPUTY COMMISSIONER STATE TAXES AND EXCISE
510,510-SUPERINTENDENT OF POLICE
525,525-DEPUTY DIRECTOR AGRICULTURE
529,"529-DISTRICT FOOD AND SUPPLY CONTROLLER, SHIMLA"
534,534-MINIING OFFICER SHIMLA
538,538-LABOUR OFFICER RAMPUR
541,541-SUB-JUDGE-CUM-ADDL.CJM ROHRU
608,"608-E.E. PWD DIVISION,ROHRU"
678,678-E.E.MECH.DIV.PWD ROHRU
719,719-IPH DIVISION ROHRU
832,832-FOREST DIVISION ROHRU
950,950-CHIEF ELECTRICAL INSPECTOR
951,951-CONTROLLER ( W & M)
952,952-CONTROLLER PRINTING AND STATIONARY
959,959-NUR INSPECTOR AND CERTIFICATION OFFICER
960,960-SR PLANT PROT. OFFICER SHIMLA
970,970-DIRECTOR COMPOSITE TESTING LAB KANDAGHAT
