,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
7, , ,"[TRVch# 1535 Dt:07/10/2017] , Billno-KNG05255092017-004",1,68617,0,3218,65399
8, ,32-2202-01-789-15-S00N-V-P-41-GIA GENERAL (Salary),Total,1,14040,0,0,14040
9, , ,"[TRVch# 1560 Dt:07/10/2017] , Billno-KNG052552017100015",1,14040,0,0,14040
0,Grand Total, , ,8,404464,138862,11862,253740
1,KNG05-255-HM GHS BAIRGHAT,Total, ,8,404464,138862,11862,253740
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,3,245866,99438,5084,141344
3, , ,"[TRVch# 1606 Dt:07/11/2017] , Billno-KNG05255102017-001",1,195593,81000,5084,109509
4, , ,"[TRVch# 1607 Dt:07/11/2017] , Billno-KNG05255102017-002",1,29936,0,0,29936
5, , ,"[TRVch# 3457 Dt:21/11/2017] , Billno-KNG052552017100017",1,20337,18438,0,1899
6, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,4,157466,39424,6778,111264
7, , ,"[TRVch# 1608 Dt:07/11/2017] , Billno-KNG05255102017-003",1,73426,30000,3120,40306
8, , ,"[TRVch# 1609 Dt:07/11/2017] , Billno-KNG05255102017-004",1,68617,0,3218,65399
9, , ,"[TRVch# 3455 Dt:21/11/2017] , Billno-KNG052552017100019",1,5999,0,440,5559
10, , ,"[TRVch# 3456 Dt:21/11/2017] , Billno-KNG052552017100018",1,9424,9424,0,0
11, ,32-2202-01-789-15-S00N-V-P-41-GIA GENERAL (Salary),Total,1,1132,0,0,1132
12, , ,"[TRVch# 3525 Dt:21/11/2017] , Billno-KNG052552017100020",1,1132,0,0,1132
0,Grand Total, , ,4,373222,111000,12238,249984
1,KNG05-255-HM GHS BAIRGHAT,Total, ,4,373222,111000,12238,249984
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,230184,81000,5564,143620
3, , ,"[TRVch# 1151 Dt:06/12/2017] , Billno-KNG05255112017-001",1,197684,81000,5404,111280
4, , ,"[TRVch# 1152 Dt:06/12/2017] , Billno-KNG05255112017-002",1,32500,0,160,32340
5, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,2,143038,30000,6674,106364
6, , ,"[TRVch# 1153 Dt:06/12/2017] , Billno-KNG05255112017-003",1,73426,30000,3200,40226
7, , ,"[TRVch# 1154 Dt:06/12/2017] , Billno-KNG05255112017-004",1,69612,0,3474,66138
0,Grand Total, , ,6,898631,111000,11518,776113
1,KNG05-255-HM GHS BAIRGHAT,Total, ,6,898631,111000,11518,776113
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,1,500000,0,0,500000
3, , ,"[TRVch# 619 Dt:30/01/2018] , Billno-KNG052552017100025",1,500000,0,0,500000
4, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,230184,81000,5084,144100
5, , ,"[TRVch# 1643 Dt:09/01/2018] , Billno-KNG05255122017-001",1,197684,81000,5084,111600
6, , ,"[TRVch# 1644 Dt:09/01/2018] , Billno-KNG05255122017-002",1,32500,0,0,32500
7, ,08-2202-01-800-06-S00N-V-P-41-GIA GENERAL (Salary),Total,1,21060,0,0,21060
8, , ,"[TRVch# 3097 Dt:19/01/2018] , Billno-KNG052552017100023",1,21060,0,0,21060
9, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,2,147387,30000,6434,110953
10, , ,"[TRVch# 1645 Dt:09/01/2018] , Billno-KNG05255122017-003",1,77775,30000,3120,44655
11, , ,"[TRVch# 1646 Dt:09/01/2018] , Billno-KNG05255122017-004",1,69612,0,3314,66298
0,Grand Total, , ,10,417626,128228,11808,277590
1,KNG05-255-HM GHS BAIRGHAT,Total, ,10,417626,128228,11808,277590
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,3,246849,92840,5084,148925
3, , ,"[TRVch# 2756 Dt:07/02/2018] , Billno-KNG05255012018-001",1,200079,81000,5084,113995
4, , ,"[TRVch# 2757 Dt:07/02/2018] , Billno-KNG05255012018-002",1,32500,0,0,32500
5, , ,"[TRVch# 2810 Dt:07/02/2018] , Billno-KNG052552017100024",1,14270,11840,0,2430
6, ,08-2202-01-101-03-S00N-V-N-03-TRAVEL EXPENSES,Total,2,4214,0,0,4214
7, , ,"[TRVch# 2875 Dt:07/02/2018] , Billno-KNG052552017100022",1,3620,0,0,3620
8, , ,"[TRVch# 4107 Dt:22/02/2018] , Billno-KNG052552017100021",1,594,0,0,594
9, ,08-2202-01-800-06-S00N-V-P-41-GIA GENERAL (Salary),Total,1,7020,0,0,7020
10, , ,"[TRVch# 2874 Dt:07/02/2018] , Billno-KNG052552017100028",1,7020,0,0,7020
11, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,4,159543,35388,6724,117431
12, , ,"[TRVch# 2758 Dt:07/02/2018] , Billno-KNG05255012018-003",1,78718,30000,3120,45598
13, , ,"[TRVch# 2759 Dt:07/02/2018] , Billno-KNG05255012018-004",1,70451,0,3356,67095
14, , ,"[TRVch# 2811 Dt:07/02/2018] , Billno-KNG052552017100026",1,5388,5388,0,0
15, , ,"[TRVch# 2812 Dt:07/02/2018] , Billno-KNG052552017100027",1,4986,0,248,4738
0,Grand Total, , ,11,415858,96000,103122,216736
1,KNG05-255-HM GHS BAIRGHAT,Total, ,11,415858,96000,103122,216736
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,238964,66000,62685,110279
3, , ,"[TRVch# 1582 Dt:08/03/2018] , Billno-KNG05255022018-001",1,206464,66000,62685,77779
4, , ,"[TRVch# 1583 Dt:08/03/2018] , Billno-KNG05255022018-002",1,32500,0,0,32500
5, ,08-2202-01-101-03-S00N-V-N-03-TRAVEL EXPENSES,Total,1,992,0,0,992
6, , ,"[TRVch# 9931 Dt:31/03/2018] , Billno-KNG052552017100037",1,992,0,0,992
7, ,08-2202-01-800-06-S00N-V-P-41-GIA GENERAL (Salary),Total,2,14040,0,0,14040
8, , ,"[TRVch# 10087 Dt:31/03/2018] , Billno-KNG052552017100033",1,7020,0,0,7020
9, , ,"[TRVch# 4311 Dt:19/03/2018] , Billno-KNG052552017100031",1,7020,0,0,7020
10, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,2,153920,30000,40437,83483
11, , ,"[TRVch# 1584 Dt:08/03/2018] , Billno-KNG05255022018-003",1,81232,30000,32564,18668
12, , ,"[TRVch# 1585 Dt:08/03/2018] , Billno-KNG05255022018-004",1,72688,0,7873,64815
13, ,08-2202-02-109-01-S00N-V-N-03-TRAVEL EXPENSES,Total,2,1958,0,0,1958
14, , ,"[TRVch# 9933 Dt:31/03/2018] , Billno-KNG052552017100035",1,1274,0,0,1274
15, , ,"[TRVch# 9934 Dt:31/03/2018] , Billno-KNG052552017100038",1,684,0,0,684
16, ,08-2202-02-109-01-S00N-V-N-05-OFFICE EXPENSES,Total,1,2526,0,0,2526
17, , ,"[TRVch# 4365 Dt:19/03/2018] , Billno-KNG052552017100032",1,2526,0,0,2526
18, ,08-2202-02-109-01-S00N-V-N-06-MEDICAL REIMBURSEMENT,Total,1,3458,0,0,3458
19, , ,"[TRVch# 9932 Dt:31/03/2018] , Billno-KNG052552017100036",1,3458,0,0,3458
0,Grand Total, , ,4,392884,121000,13054,258830
1,KNG05-255-HM GHS BAIRGHAT,Total, ,4,392884,121000,13054,258830
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,238964,81000,3284,154680
3, , ,"[TRVch# 2118 Dt:09/04/2018] , Billno-KNG05255032018-001",1,206464,81000,3284,122180
4, , ,"[TRVch# 2119 Dt:09/04/2018] , Billno-KNG05255032018-002",1,32500,0,0,32500
5, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,2,153920,40000,9770,104150
6, , ,"[TRVch# 2120 Dt:09/04/2018] , Billno-KNG05255032018-003",1,81232,40000,3120,38112
7, , ,"[TRVch# 2121 Dt:09/04/2018] , Billno-KNG05255032018-004",1,72688,0,6650,66038
0,Grand Total, , ,5,365848,126000,14802,225046
1,KNG05-255-HM GHS BAIRGHAT,Total, ,5,365848,126000,14802,225046
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,240664,86000,8305,146359
3, , ,"[TRVch# 2583 Dt:09/05/2018] , Billno-KNG05255042018-001",1,206464,86000,8305,112159
4, , ,"[TRVch# 2584 Dt:09/05/2018] , Billno-KNG05255042018-002",1,34200,0,0,34200
5, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,2,118164,40000,6497,71667
6, , ,"[TRVch# 2585 Dt:09/05/2018] , Billno-KNG05255042018-003",1,81232,40000,3150,38082
7, , ,"[TRVch# 2586 Dt:09/05/2018] , Billno-KNG05255042018-004",1,36932,0,3347,33585
8, ,32-2202-01-789-15-S00N-V-P-41-GIA GENERAL (Salary),Total,1,7020,0,0,7020
9, , ,"[TRVch# 3495 Dt:29/05/2018] , Billno-KNG052552018100001",1,7020,0,0,7020
0,Grand Total, , ,9,592527,310196,14899,267432
1,KNG05-255-HM GHS BAIRGHAT,Total, ,9,592527,310196,14899,267432
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,3,374522,211906,8402,154214
3, , ,"[TRVch# 1474 Dt:08/06/2018] , Billno-KNG05255052018-001",1,207506,88000,8402,111104
4, , ,"[TRVch# 1475 Dt:08/06/2018] , Billno-KNG05255052018-002",1,34200,0,0,34200
5, , ,"[TRVch# 3189 Dt:21/06/2018] , Billno-KNG052552018100010",1,132816,123906,0,8910
6, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,5,210985,98290,6497,106198
