DDO Code,DDO Name
001,001-AE PWD SUB DIV HOLI
002,002-AE PWD SUB DIV GAROLA
005,005-B.M.O.BHARMOUR
012,012-ASSTT.EXTENTION OFFICER HOLI
036,036-ASSTT DIR FISHERIES CHAMBA
200,200-PR GSSS HOLI
201,201-PR GSSS CHANHOUTA
202,202-PR GSSS GAROLA
203,203-BEEO GAROLA
204,204-HM GHS NAYAGRAN
205,205-PRINCIPAL GSSS DURGATHI
206,206-HM GHS SINYUR
207,207-HM GHS LAMU
208,208-HM GHS DEOL
209,209-HM GHS SANH
210,210-PRINCIPAL GSSS ULLANSA
500,500-DISTRICT TREASURY OFFICER CHAMBA
509,509-DEPUTY COMMISSIONER STATE TAXES AND EXCISE
510,510-SUPERINTENDENT OF POLICE   
525,525-DY. DIR. AGRICULTURE
529,529-CONTROLLER (FCS&CA) CHAMBA
537,537-TEHSILDAR HOLI
630,630-E.E.DIV.HPWD CHAMBA
674,674-E.E.H.P.P.W.D.BHARMOUR
950,950-CHIEF ELECTRICAL INSPECTOR
952,952-CONTROLLER PRINTING AND STATIONARY
953,953-DIRECTOR (FISHRIES)
959,959-NUR INSPECTOR AND CERTIFICATION OFFICER
960,960-SR PLANT PROT. OFFICER SHIMLA
970,970-DIRECTOR COMPOSITE TESTING LAB KANDAGHAT
