DDO Code,DDO Name
001,001-S.D.O. (CIVIL) DODRA KAWAR
002,002-S.D.O. (CIVIL) DODRA KAWAR
003,003-S.D.O. (CIVIL) DODRA KAWAR
004,004-AE PWD SUB DIV DODRAKAWAR
005,005-A.E. IPH SUB DIVISION KAWAR
009,009-S.D.O. (CIVIL) DODRA KAWAR
010,010-S.D.O. (CIVIL) DODRA KAWAR
200,200-GSSS KAWAR
201,201-GSSS DODRA
202,202-BEEO DODRA-KAWAR
203,203-GSSS JISKOON
204,204-PRINCIPAL GOVT. INDUSTRIAL TRAINING INSTITUTE
500,500-DISTRICT TREASURY OFFICER SHIMLA
501,501-DEPUTY COMMISSIONER SHIMLA
504,504-AC TO DC SHIMLA
509,509-DEPUTY COMMISSIONER STATE TAXES AND EXCISE
510,510-SUPERINTENDENT OF POLICE
519,519-DISTRICT WELFARE OFFICER SHIMLA
615,"615-E.E. PWD N.H.DIVISION,SOLAN"
654,"654-E.E. PWD MECH.DIVISION,RAMPUR"
672,672-E.E. MASTER PLAN DIV.SHIMLA
675,675-E.E.PWD DIVISION DODRAKAWAR
676,676-E.E.B&R DIVISION PWD NALAGARH
719,719-IPH DIVISION ROHRU
898,"898-DIV.FOREST OFF.,FSD,HAMIRPUR"
950,950-CHIEF ELECTRICAL INSPECTOR
952,952-CONTROLLER PRINTING AND STATIONARY
959,959-NUR INSPECTOR AND CERTIFICATION OFFICER
960,960-SR PLANT PROT. OFFICER SHIMLA
970,970-DIRECTOR COMPOSITE TESTING LAB KANDAGHAT
