,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
12, , ,"[TRVch# 168 Dt:10/07/2017] , Billno-KNR03200062017-006",1,135779,0,12766,123013
0,Grand Total, , ,12,758026,188000,43616,526410
1,KNR03-200-GSSS MOORANG,Total, ,12,758026,188000,43616,526410
2, ,31-2202-01-796-10-S00N-V-P-01-SALARIES,Total,1,35240,0,334,34906
3, , ,"[TRVch# 212 Dt:07/08/2017] , Billno-KNR03200072017-001",1,35240,0,334,34906
4, ,31-2202-02-796-02-S00N-V-N-01-SALARIES,Total,4,255575,55000,18140,182435
5, , ,"[TRVch# 158 Dt:07/08/2017] , Billno-KNR03200072017-003",1,149433,0,9962,139471
6, , ,"[TRVch# 213 Dt:07/08/2017] , Billno-KNR03200072017-002",1,105642,55000,8178,42464
7, , ,"[TRVch# 376 Dt:24/08/2017] , Billno-KNR032002017100019",1,100,0,0,100
8, , ,"[TRVch# 377 Dt:24/08/2017] , Billno-KNR032002017100021",1,400,0,0,400
9, ,31-2202-02-796-03-S00N-V-N-01-SALARIES,Total,6,451198,133000,25142,293056
10, , ,"[TRVch# 159 Dt:07/08/2017] , Billno-KNR03200072017-004",1,58892,15000,166,43726
11, , ,"[TRVch# 160 Dt:07/08/2017] , Billno-KNR03200072017-005",1,255035,118000,12210,124825
12, , ,"[TRVch# 161 Dt:07/08/2017] , Billno-KNR03200072017-006",1,136219,0,12766,123453
13, , ,"[TRVch# 363 Dt:24/08/2017] , Billno-KNR032002017100016",1,352,0,0,352
14, , ,"[TRVch# 374 Dt:24/08/2017] , Billno-KNR032002017100017",1,400,0,0,400
15, , ,"[TRVch# 375 Dt:24/08/2017] , Billno-KNR032002017100018",1,300,0,0,300
16, ,31-2202-02-796-03-S00N-V-P-02-WAGES,Total,1,16013,0,0,16013
17, , ,"[TRVch# 362 Dt:24/08/2017] , Billno-KNR032002017100014",1,16013,0,0,16013
0,Grand Total, , ,8,748588,188000,43628,516960
1,KNR03-200-GSSS MOORANG,Total, ,8,748588,188000,43628,516960
2, ,31-2202-01-796-10-S00N-V-P-01-SALARIES,Total,1,35240,0,334,34906
3, , ,"[TRVch# 161 Dt:08/09/2017] , Billno-KNR03200082017-001",1,35240,0,334,34906
4, ,31-2202-02-796-02-S00N-V-N-01-SALARIES,Total,2,239081,55000,18025,166056
5, , ,"[TRVch# 162 Dt:08/09/2017] , Billno-KNR03200082017-002",1,107431,55000,8178,44253
6, , ,"[TRVch# 163 Dt:08/09/2017] , Billno-KNR03200082017-003",1,131650,0,9847,121803
7, ,31-2202-02-796-02-S00N-V-N-03-TRAVEL EXPENSES,Total,1,9410,0,0,9410
8, , ,"[TRVch# 419 Dt:29/09/2017] , Billno-KNR032002017100027",1,9410,0,0,9410
9, ,31-2202-02-796-03-S00N-V-N-01-SALARIES,Total,3,458888,133000,25269,300619
10, , ,"[TRVch# 164 Dt:08/09/2017] , Billno-KNR03200082017-004",1,59873,15000,166,44707
11, , ,"[TRVch# 165 Dt:08/09/2017] , Billno-KNR03200082017-005",1,259399,118000,12210,129189
12, , ,"[TRVch# 166 Dt:08/09/2017] , Billno-KNR03200082017-006",1,139616,0,12893,126723
13, ,31-2202-02-796-03-S00N-V-N-05-OFFICE EXPENSES,Total,1,5969,0,0,5969
14, , ,"[TRVch# 420 Dt:29/09/2017] , Billno-KNR032002017100026",1,5969,0,0,5969
0,Grand Total, , ,15,1908757,259401,51170,1598186
1,KNR03-200-GSSS MOORANG,Total, ,15,1908757,259401,51170,1598186
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,1,120000,0,0,120000
3, , ,"[TRVch# 77 Dt:31/10/2017] , Billno-KNR032002017100032",1,120000,0,0,120000
4, ,31-2202-01-796-10-S00N-V-P-01-SALARIES,Total,1,35240,0,334,34906
5, , ,"[TRVch# 189 Dt:10/10/2017] , Billno-KNR03200092017-001",1,35240,0,334,34906
6, ,31-2202-02-796-02-S00N-V-N-01-SALARIES,Total,5,680944,68737,19557,592650
7, , ,"[TRVch# 190 Dt:10/10/2017] , Billno-KNR03200092017-002",1,109171,55000,8178,45993
8, , ,"[TRVch# 191 Dt:10/10/2017] , Billno-KNR03200092017-003",1,135386,0,10112,125274
9, , ,"[TRVch# 565 Dt:31/10/2017] , Billno-KNR032002017100023",1,12650,0,1267,11383
10, , ,"[TRVch# 566 Dt:31/10/2017] , Billno-KNR032002017100022",1,13737,13737,0,0
11, , ,"[TRVch# 607 Dt:31/10/2017] , Billno-KNR032002017000006",1,410000,0,0,410000
12, ,31-2202-02-796-03-S00N-V-N-01-SALARIES,Total,7,1056560,190664,31279,834617
13, , ,"[TRVch# 192 Dt:10/10/2017] , Billno-KNR03200092017-004",1,264610,118000,12210,134400
14, , ,"[TRVch# 193 Dt:10/10/2017] , Billno-KNR03200092017-005",1,141521,0,13083,128438
15, , ,"[TRVch# 531 Dt:31/10/2017] , Billno-KNR032002017000005",1,520000,0,0,520000
16, , ,"[TRVch# 567 Dt:31/10/2017] , Billno-KNR032002017100024",1,33259,33259,0,0
17, , ,"[TRVch# 568 Dt:31/10/2017] , Billno-KNR032002017100025",1,14288,0,1426,12862
18, , ,"[TRVch# 600 Dt:31/10/2017] , Billno-KNR032002017100035",1,9405,9405,0,0
19, , ,"[TRVch# 601 Dt:31/10/2017] , Billno-KNR032002017100036",1,73477,30000,4560,38917
20, ,31-2202-02-796-03-S00N-V-P-02-WAGES,Total,1,16013,0,0,16013
21, , ,"[TRVch# 577 Dt:31/10/2017] , Billno-KNR032002017100028",1,16013,0,0,16013
0,Grand Total, , ,10,846442,203000,48779,594663
1,KNR03-200-GSSS MOORANG,Total, ,10,846442,203000,48779,594663
2, ,31-2202-01-796-10-S00N-V-P-01-SALARIES,Total,1,35240,0,334,34906
3, , ,"[TRVch# 189 Dt:10/11/2017] , Billno-KNR03200102017-001",1,35240,0,334,34906
4, ,31-2202-01-796-17-S00N-V-P-41-GIA GENERAL (Salary),Total,1,31590,0,0,31590
5, , ,"[TRVch# 263 Dt:10/11/2017] , Billno-KNR032002017100037",1,31590,0,0,31590
6, ,31-2202-02-796-02-S00N-V-N-01-SALARIES,Total,2,146049,55000,10077,80972
7, , ,"[TRVch# 190 Dt:10/11/2017] , Billno-KNR03200102017-002",1,109171,55000,8178,45993
8, , ,"[TRVch# 191 Dt:10/11/2017] , Billno-KNR03200102017-003",1,36878,0,1899,34979
9, ,31-2202-02-796-03-S00N-V-N-01-SALARIES,Total,4,592656,148000,38368,406288
10, , ,"[TRVch# 192 Dt:10/11/2017] , Billno-KNR03200102017-004",1,72931,30000,4788,38143
11, , ,"[TRVch# 193 Dt:10/11/2017] , Billno-KNR03200102017-005",1,264610,118000,12210,134400
12, , ,"[TRVch# 194 Dt:10/11/2017] , Billno-KNR03200102017-006",1,240612,0,21352,219260
13, , ,"[TRVch# 489 Dt:30/11/2017] , Billno-KNR032002017100042",1,14503,0,18,14485
14, ,31-2202-02-796-03-S00N-V-N-05-OFFICE EXPENSES,Total,1,5926,0,0,5926
15, , ,"[TRVch# 488 Dt:30/11/2017] , Billno-KNR032002017100041",1,5926,0,0,5926
16, ,31-2202-02-796-03-S00N-V-P-05-OFFICE EXPENSES,Total,1,34981,0,0,34981
17, , ,"[TRVch# 264 Dt:10/11/2017] , Billno-KNR032002017100038",1,34981,0,0,34981
0,Grand Total, , ,8,795440,203000,53299,539141
1,KNR03-200-GSSS MOORANG,Total, ,8,795440,203000,53299,539141
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,1,230000,0,0,230000
3, , ,"[TRVch# 76 Dt:21/12/2017] , Billno-KNR032002017100044",1,230000,0,0,230000
4, ,31-2202-01-796-10-S00N-V-P-01-SALARIES,Total,1,35240,0,494,34746
5, , ,"[TRVch# 183 Dt:08/12/2017] , Billno-KNR03200112017-001",1,35240,0,494,34746
6, ,31-2202-02-796-02-S00N-V-N-01-SALARIES,Total,2,99449,55000,10397,34052
7, , ,"[TRVch# 184 Dt:08/12/2017] , Billno-KNR03200112017-002",1,69771,55000,8338,6433
8, , ,"[TRVch# 185 Dt:08/12/2017] , Billno-KNR03200112017-003",1,29678,0,2059,27619
9, ,31-2202-02-796-03-S00N-V-N-01-SALARIES,Total,3,414738,148000,42408,224330
10, , ,"[TRVch# 186 Dt:08/12/2017] , Billno-KNR03200112017-004",1,73231,30000,4868,38363
11, , ,"[TRVch# 187 Dt:08/12/2017] , Billno-KNR03200112017-005",1,200810,118000,15530,67280
12, , ,"[TRVch# 188 Dt:08/12/2017] , Billno-KNR03200112017-006",1,140697,0,22010,118687
13, ,31-2202-02-796-03-S00N-V-P-02-WAGES,Total,1,16013,0,0,16013
14, , ,"[TRVch# 377 Dt:21/12/2017] , Billno-KNR032002017100043",1,16013,0,0,16013
0,Grand Total, , ,7,564706,203000,51898,309808
1,KNR03-200-GSSS MOORANG,Total, ,7,564706,203000,51898,309808
2, ,31-2202-01-796-10-S00N-V-P-01-SALARIES,Total,1,35240,0,334,34906
3, , ,"[TRVch# 176 Dt:06/01/2018] , Billno-KNR03200122017-001",1,35240,0,334,34906
4, ,31-2202-01-796-17-S00N-V-P-41-GIA GENERAL (Salary),Total,1,14040,0,0,14040
5, , ,"[TRVch# 237 Dt:06/01/2018] , Billno-KNR032002017100045",1,14040,0,0,14040
6, ,31-2202-02-796-02-S00N-V-N-01-SALARIES,Total,2,99449,55000,10077,34372
7, , ,"[TRVch# 177 Dt:06/01/2018] , Billno-KNR03200122017-002",1,69771,55000,8178,6593
8, , ,"[TRVch# 178 Dt:06/01/2018] , Billno-KNR03200122017-003",1,29678,0,1899,27779
9, ,31-2202-02-796-03-S00N-V-N-01-SALARIES,Total,3,415977,148000,41487,226490
10, , ,"[TRVch# 179 Dt:06/01/2018] , Billno-KNR03200122017-004",1,73231,30000,4788,38443
11, , ,"[TRVch# 180 Dt:06/01/2018] , Billno-KNR03200122017-005",1,200810,118000,15210,67600
12, , ,"[TRVch# 181 Dt:06/01/2018] , Billno-KNR03200122017-006",1,141936,0,21489,120447
0,Grand Total, , ,11,597943,229872,49882,318189
1,KNR03-200-GSSS MOORANG,Total, ,11,597943,229872,49882,318189
2, ,31-2202-01-796-10-S00N-V-P-01-SALARIES,Total,1,35240,0,334,34906
3, , ,"[TRVch# 182 Dt:09/02/2018] , Billno-KNR03200012018-001",1,35240,0,334,34906
4, ,31-2202-02-796-02-S00N-V-N-01-SALARIES,Total,4,110173,62824,10238,37111
5, , ,"[TRVch# 183 Dt:09/02/2018] , Billno-KNR03200012018-002",1,71075,55000,8178,7897
6, , ,"[TRVch# 184 Dt:09/02/2018] , Billno-KNR03200012018-003",1,29906,0,1922,27984
7, , ,"[TRVch# 396 Dt:22/02/2018] , Billno-KNR032002017100046",1,7824,7824,0,0
8, , ,"[TRVch# 400 Dt:22/02/2018] , Billno-KNR032002017100050",1,1368,0,138,1230
9, ,31-2202-02-796-03-S00N-V-N-01-SALARIES,Total,6,452530,167048,39310,246172
10, , ,"[TRVch# 185 Dt:09/02/2018] , Billno-KNR03200012018-004",1,74115,30000,4788,39327
11, , ,"[TRVch# 186 Dt:09/02/2018] , Billno-KNR03200012018-005",1,203985,118000,15210,70775
