DDO Code,DDO Name
001,001-AE PWD SUB DIV KAMRAU
002,002-AE PWD SUB DIV SATAUN
003,003-PRINCIPAL ITI KAFFOTTA
004,004-AE NH Sub Division HPPWD Kafota
200,200-GHS KAMRAU
201,201-PR G MODEL SSS SATAUN
202,202-PR GSSS KORGA
203,203-GSSS JAMNA
204,204-PR GSSS KAFFOTA
205,205-BEEO SATAUN
206,206-GSSS KANTI MASHWA
207,207-GHS SAYADYAR
208,208-GHS CHOWKI MARAGWAL
209,209-GHS KATHWAR
210,210-GSSS TATIYANA
211,211-PRINCIPAL GSSS BADWAS
212,212-HS SAKHOLI
213,213-GHS PAMTA
214,214-BEEO KAFFOTTA
215,215-HS SAUGA KANDO
216,216-PRINCIPAL GOVT DEGREE COLLEGE KAFFOTA
217,217-HS JHAKANDO
218,218-PRINCIPAL GSSS SHARLI
500,500-DISTRICT TREASURY OFFICER NAHAN
501,501-DEPUTY COMMISSIONER SIRMOUR 
506,506-DISTRICT REVENUE OFFICER NAHAN
509,509-DEPUTY COMMISSIONER STATE TAXES AND EXCISE
510,510-S.P. NAHAN
525,525-D.D.A. NAHAN
529,529-DISTT.FOOD & SUPPLY CONTROLLER
534,534-MINING OFFICER NAHAN
537,537-TEHSILDAR KAMRAU
615,"615-E.E. PWD N.H.DIVISION,SOLAN"
699,699-EE NH DIV HPPWD NAHAN
824,824-D.F.O.RENUKAJI
950,950-CHIEF ELECTRICAL INSPECTOR
952,952-CONTROLLER PRINTING AND STATIONARY
959,959-NUR INSPECTOR AND CERTIFICATION OFFICER
960,960-SR PLANT PROT. OFFICER SHIMLA
970,970-DIRECTOR COMPOSITE TESTING LAB KANDAGHAT
