,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
20, , ,"[TRVch# 223 Dt:23/06/2017] , Billno-KNG025372017100011",1,6392,0,0,6392
21, , ,"[TRVch# 261 Dt:30/06/2017] , Billno-KNG025372017100026",1,19778,0,1436,18342
22, , ,"[TRVch# 262 Dt:30/06/2017] , Billno-KNG025372017100025",1,20889,20889,0,0
23, , ,"[TRVch# 42 Dt:08/06/2017] , Billno-KNG02537052017-004",1,166242,55000,2398,108844
24, , ,"[TRVch# 43 Dt:08/06/2017] , Billno-KNG02537052017-005",1,182968,0,10122,172846
25, ,05-2053-00-094-01-S00N-V-N-01-SALARIES,Total,5,307795,46814,2020,258961
26, , ,"[TRVch# 222 Dt:23/06/2017] , Billno-KNG025372017100006",1,111981,0,0,111981
27, , ,"[TRVch# 263 Dt:30/06/2017] , Billno-KNG025372017100027",1,3108,0,0,3108
28, , ,"[TRVch# 264 Dt:30/06/2017] , Billno-KNG025372017100029",1,22998,8814,0,14184
29, , ,"[TRVch# 265 Dt:30/06/2017] , Billno-KNG025372017100021",1,51918,0,0,51918
30, , ,"[TRVch# 44 Dt:08/06/2017] , Billno-KNG02537052017-006",1,117790,38000,2020,77770
0,Grand Total, , ,10,2185632,438548,30061,1717023
1,KNG02-537-TEHSILDAR DEHRA,Total, ,10,2185632,438548,30061,1717023
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,2,600000,0,0,600000
3, , ,"[TRVch# 512 Dt:19/07/2017] , Billno-KNG025372017100032",1,200000,0,0,200000
4, , ,"[TRVch# 513 Dt:19/07/2017] , Billno-KNG025372017100031",1,400000,0,0,400000
5, ,05-2029-00-103-02-S00N-V-N-01-SALARIES,Total,3,955069,290548,13301,651220
6, , ,"[TRVch# 109 Dt:19/07/2017] , Billno-KNG025372017100033",1,35620,0,0,35620
7, , ,"[TRVch# 40 Dt:10/07/2017] , Billno-KNG02537062017-001",1,738852,290548,6245,442059
8, , ,"[TRVch# 41 Dt:10/07/2017] , Billno-KNG02537062017-002",1,180597,0,7056,173541
9, ,05-2029-00-103-04-S00N-V-N-01-SALARIES,Total,1,158057,55000,2220,100837
10, , ,"[TRVch# 42 Dt:10/07/2017] , Billno-KNG02537062017-003",1,158057,55000,2220,100837
11, ,05-2030-03-800-00-S00N-V-N-20-OTHER CHARGES,Total,1,900,0,0,900
12, , ,"[TRVch# 114 Dt:19/07/2017] , Billno-KNG025371772030001",1,900,0,0,900
13, ,05-2053-00-093-01-S00N-V-N-01-SALARIES,Total,2,349210,55000,12520,281690
