DDO Code,DDO Name
001,001-CIVIL JUDGE (JR DIVISION) BILASPUR
002,002-C.D.P.O. BILASPUR
003,003-SUPDT. OPEN AIR JAIL BILASPUR
004,004-S.E.PWD X CIRCLE BILASPUR
005,005-ASSTT.ENGINEER DEV. BILASPUR 
006,006-BLOCK MEDICAL OFFICER MARKAND BILASPUR
007,007-PRINCIPAL ITI BILASPUR
008,008-BLOCK DEV.OFFICER SADAR BILASPUR
009,009-SETT.OFFC.CONSOL.& HOLD. BILASPUR
010,010-ASSTT DIR.FISHERIES BILASPUR
011,011-DY.DIR.FISHERIES BILASPUR
013,013-SUBJECT MATTER SPECIALIST HORTICULTURE (FCU) BILASPUR
014,"014-OFFICE OF MEDICAL SUPERITENDENT, REGIONAL HOSPITAL BILASPUR"
015,"015-PLANNING OFFICER, TOWN & COUNTRY BILASPUR"
017,017-ASSTT CONTROLLER W & M BILASPUR
018,018-EXECUTIVE OFFICER M.C. BILASPUR
020,020-ACCOUNTS OFFICER PLANNING BILASPUR
021,021-CHAIRMAN DRDA BILASPUR        
023,023-SUB DIVN MAGISTRATE BILASPUR
024,"024-DISTT PROGRAMME OFFICER, BILASPUR"
025,025-REGIONAL TRANSPORT OFFICER BILASPUR
026,"026-DEPUTY DIRECTOR HORTICULTURE, BILASPUR"
028,028-AE PWD MECH SUB DIV BILASPUR
029,029-AE PWD ELE SUB DIV BILASPUR
030,030-AE PWD SUB DIV II BILASPUR
031,031-AE PWD HORT SUB DIV BILASPUR
032,032-AE PWD SUB DIV BERI
033,033-AE PWD SUB DIV III BILASPUR
034,034-AE PWD SUB DIV NAMHOL
035,035-AE PWD NH SUB DIV JUKHALA
036,036-AE PWD NH SUB DIV BILASPUR
037,037-AE IPH SUB DIV NO II BILASPUR
038,038-AE IPH SUB DIV KANDROUR
039,039-AE IPH SUB DIV JUKHALA
040,040-AE IPH SUB DIV BASSI
041,041-MOBILE TRAFFIC MAGISTRATE HAMIRPUR AND BILASPUR AT BILASPUR
200,200-PR GOVT COLLEGE BILASPUR
201,201-BEEO SADAR BILASPUR
202,202-PO ADULT EDU BILASPUR
203,203-GSSS Kallar BILASPUR
204,204-GSSS Namhol
205,205-GSSS Deoth
206,206-GSSS Soldha
207,207-GSSS Chharol
208,208-GSSS Ghagas
209,209-GSSS Jukhala
210,210-GSSS KOTHIPURA
211,211-GSSS GIRLS BILASPUR
212,212-GSSS BOYS BILASPUR
213,213-GSSS Panjgain
214,214-GSSS Kandrour
215,215-COMMANDANT N.C.C. BILASPUR
216,216-GSSS Rani Kotla
217,217-GSSS BANDLA
218,218-PR DIET. JUKHALA
220,220-GHS BAHOT KASHOL
221,221-GSSS SIKROHA
222,222-PR SSS BARMANA
223,223-HM GHS TEPRA
224,224-GSSS SUIN SURHAR
225,225-GSSS CHANDPUR
226,226-GSSS RAGHU NATH PURA
227,227-PRINCIPAL GSSS DASGAON
228,228-GSSS Sohari
229,229-GHS Parohi
230,230-GSSS Baddu Dadhog
231,231-GHS Niharkhandbasla
232,232-GSSS DHAR TATOH
233,233-PR GSSS CHHAKOH
235,235-GSSS MEHTHI
236,236-PRINCIPAL GSSS BALAG-KA-GHAT
237,237-PR GOVT DEGREE COLLEGE JUKHALA
238,238-GHS SAI BRAHMNA
239,239-GSSS Harnora
240,240-PRINCIPAL GSSS JAMLI
500,500-DISTRICT TREASURY OFFICER BILASPUR
501,501-DEPUTY COMMISSIONER BILASPUR
503,503-ADDL DEPUTY MAGISTRATE BILASPUR
504,504-AC TO DC BILASPUR
505,505-CHIEF MEDICAL OFFICER BILASPUR
506,506-DISTRICT REVENUE OFFICER BILASPUR
507,507-DISTRICT AND SESSION JUDGE BILASPUR
508,508-CIVIL JUDGE (SR DIVISION) BILASPUR
