DDO Code,DDO Name
001,001-S.D.O.(CIVIL) SARKAGHAT
002,002-SUB POSTMASTER SARKAGHAT
004,004-B.D.O GOPALPUR
005,005-C.D.P.O. GOPALPUR
007,007-CIVIL JUDGE (JR DIVISION-I) SARKAGHAT
008,008-APP CUM LAW OFFICER SARKAGHAT
010,010-ASSTT.SOIL CONS.OFFICER SARKAGHAT
014,014-MEDICAL OFFICER I/C R.H. SARKAGHAT
018,018-SUB-DIV.ACA SARKAGHAT
019,019-AE PWD SUB DIV SARKAGHAT
020,020-AE IPH SUB DIV SARKAGHAT
021,021-AE PWD MECH SUB DIV PARCHHOO
022,022-CIVIL JUDGE (JR DIVISION-II) SARKAGHAT
023,023-ASSISTANT ENGINEER (DEV.)
051,051-DEPUTY DIRECTOR HORTICULTURE MANDI
200,200-GSSS SARKAGHAT
202,202-BEEO IST DHARAMPUR
204,204-BEEO IST GOPALPUR
205,205-PR SSS TIHARA
209,209-GSSS HAWANI
210,210-GSSS THAUNA
211,211-GSSS MASARN
212,212-GSSS BHADHARWAR
213,213-GSSS JAMNI
214,214-GSSS GOPALPUR
215,215-GSSS RAKHOH
216,216-PR SSS PAUNTA
217,217-GSSS NABAHI
218,218-GSSS CHOLTHARA
219,219-GSSS (GIRLS) SARKAGHAT
220,220-GSSS BHARARI
223,223-PR GD COLLEGE S.GHAT
224,224-PR SSS CHANDESH
226,226-GSSS TIKKER
228,228-GSSS KHUDDI KHAN
230,230-PR SSS SADHOT
231,231-PR SSS RISSA
232,232-GSSS RAKHOTA
233,233-GSSS LONGANI
234,234-PR SSS GADDIDHAR
235,235-PR GSSS GEHRA
236,236-HMGHS SULPUR BAHI
237,237-GSSS BRARTA
238,238-HM GHS PRASHADA HAWANI
239,239-HM GHS KANGO-KA-GHERA
240,240-GSSS BAGRA GALLU
241,241-HM GHS PINGLA
242,242-HM GHS RASAIN GALLU
243,243-HM GHS NALYANA
244,244-PRINCIPAL ITI PAPLOG
245,245-PR GSSS PAPLOG
246,246-HM GHS HUKKAL
247,247-PRINCIPAL ITI BHADROTA SARKAGHAT
248,248-PRINCIPAL INDUSTRIAL TRAINING INSTITUTE MOHIN
500,500-DISTRICT TREASURY OFFICER MANDI
501,501-DEPUTY COMMISSIONER MANDI
505,505-CHIEF MEDICAL OFFICER
506,506-DISTRICT REVENUE OFFICER MANDI
507,507-DISTRICT AND SESSION JUDGE
509,509-DEPUTY COMMISSIONER STATE TAXES AND EXCISE
510,510-SUPERINTENDENT OF POLICE
515,515-ASSTT REGISTRAR CO-OP SOCIETY MANDI
525,525-DEPUTY DIRECTOR AGRICULTURE
529,529-DISTT.FOOD & SUPPLY CONTROLLER MANDI
534,534-MINING OFFICER MANDI
537,537-TEHSILDAR SARKAGHAT
604,"604-E.E. PWD DIVISION, SARKAGHAT"
618,618-E.E.PWD.SHIMLA.DIV.III
661,661-E.E. PWD MECH.DIV. BILASPUR
701,701-IPH DIVISION SARKAGHAT
816,816-FOREST DIVISION SUKET(S.NAGAR)
818,818-FOREST DIVISION J.NAGAR(W&P)
950,950-CHIEF ELECTRICAL INSPECTOR
952,952-CONTROLLER PRINTING AND STATIONARY
959,959-NUR INSPECTOR AND CERTIFICATION OFFICER
960,960-SR PLANT PROT. OFFICER SHIMLA
970,970-DIRECTOR COMPOSITE TESTING LAB KANDAGHAT
