DDO Code,DDO Name
001,001-DY DIR HORT. KINNAUR
002,002-S P M MOORANG
004,004-AE PWD SUB DIV MOORANG
005,005-AE IPH SUB DIV AKPA
200,200-GSSS MOORANG
201,201-PR GSSS RARANG
202,202-GSSS RIBBA
203,203-GSSS GIABONG
204,204-GSSS KANAM
205,205-PR GSSS LIPPA
206,206-GHS THANGI
207,207-GHS NESANG
208,208-GSSS JANGI
209,209-HM GHS ASRANG
500,500-TREASURY OFFICER MOORANG
509,509-DEPUTY COMMISSIONER STATE TAXES AND EXCISE
525,525-DISTT AGR. OFFICER R/PEO
537,537-TEHSILDAR MOORANG
650,650-XEN B&R DIVISION KALPA
654,654-EE HPPWD Mech. Div Rampur
709,709-EE IPH DIVISION POOH
950,950-CHIEF ELECTRICAL INSPECTOR
952,952-CONTROLLER PRINTING AND STATIONARY
959,959-NUR INSPECTOR AND CERTIFICATION OFFICER
960,960-SR PLANT PROT. OFFICER SHIMLA
970,970-DIRECTOR COMPOSITE TESTING LAB KANDAGHAT
