,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
0,Grand Total, , ,3,192489,65000,2096,125393
1,KLU03-251-GHS SHARVI,Total, ,3,192489,65000,2096,125393
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,96290,5000,2036,89254
3, , ,"[TRVch# 530 Dt:06/04/2017] , Billno-KLU03251032017-001",1,74833,5000,30,69803
4, , ,"[TRVch# 531 Dt:06/04/2017] , Billno-KLU03251032017-002",1,21457,0,2006,19451
5, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,1,96199,60000,60,36139
6, , ,"[TRVch# 532 Dt:06/04/2017] , Billno-KLU03251032017-003",1,96199,60000,60,36139
0,Grand Total, , ,6,216088,82243,5356,128489
1,KLU03-251-GHS SHARVI,Total, ,6,216088,82243,5356,128489
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,4,106986,11537,3296,92153
3, , ,"[TRVch# 551 Dt:08/05/2017] , Billno-KLU032512017100001",1,6537,6537,0,0
4, , ,"[TRVch# 552 Dt:08/05/2017] , Billno-KLU032512017100002",1,2351,0,234,2117
5, , ,"[TRVch# 656 Dt:08/05/2017] , Billno-KLU03251042017-001",1,76378,5000,1030,70348
6, , ,"[TRVch# 657 Dt:08/05/2017] , Billno-KLU03251042017-002",1,21720,0,2032,19688
7, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,2,109102,70706,2060,36336
8, , ,"[TRVch# 553 Dt:08/05/2017] , Billno-KLU032512017100003",1,10706,10706,0,0
9, , ,"[TRVch# 658 Dt:08/05/2017] , Billno-KLU03251042017-003",1,98396,60000,2060,36336
0,Grand Total, , ,4,296494,65000,5122,226372
1,KLU03-251-GHS SHARVI,Total, ,4,296494,65000,5122,226372
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,1,100000,0,0,100000
3, , ,"[TRVch# 42 Dt:07/06/2017] , Billno-KLU032512017100006",1,100000,0,0,100000
4, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,98098,5000,3062,90036
5, , ,"[TRVch# 667 Dt:07/06/2017] , Billno-KLU03251052017-001",1,76378,5000,1030,70348
6, , ,"[TRVch# 668 Dt:07/06/2017] , Billno-KLU03251052017-002",1,21720,0,2032,19688
7, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,1,98396,60000,2060,36336
8, , ,"[TRVch# 669 Dt:07/06/2017] , Billno-KLU03251052017-003",1,98396,60000,2060,36336
0,Grand Total, , ,6,212547,85000,5122,122425
1,KLU03-251-GHS SHARVI,Total, ,6,212547,85000,5122,122425
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,98098,25000,3062,70036
3, , ,"[TRVch# 629 Dt:07/07/2017] , Billno-KLU03251062017-001",1,76378,25000,1030,50348
4, , ,"[TRVch# 630 Dt:07/07/2017] , Billno-KLU03251062017-002",1,21720,0,2032,19688
5, ,08-2202-01-101-03-S00N-V-N-03-TRAVEL EXPENSES,Total,2,5164,0,0,5164
6, , ,"[TRVch# 868 Dt:19/07/2017] , Billno-KLU032512017100008",1,2748,0,0,2748
7, , ,"[TRVch# 869 Dt:19/07/2017] , Billno-KLU032512017100004",1,2416,0,0,2416
8, ,08-2202-01-101-03-S00N-V-N-06-MEDICAL REIMBURSEMENT,Total,1,10889,0,0,10889
9, , ,"[TRVch# 867 Dt:19/07/2017] , Billno-KLU032512017100007",1,10889,0,0,10889
10, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,1,98396,60000,2060,36336
11, , ,"[TRVch# 631 Dt:07/07/2017] , Billno-KLU03251062017-003",1,98396,60000,2060,36336
0,Grand Total, , ,5,259614,110000,8652,140962
1,KLU03-251-GHS SHARVI,Total, ,5,259614,110000,8652,140962
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,81388,25000,3062,53326
3, , ,"[TRVch# 521 Dt:05/08/2017] , Billno-KLU03251072017-001",1,59668,25000,1030,33638
4, , ,"[TRVch# 522 Dt:05/08/2017] , Billno-KLU03251072017-002",1,21720,0,2032,19688
5, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,2,161516,85000,5590,70926
6, , ,"[TRVch# 523 Dt:05/08/2017] , Billno-KLU03251072017-003",1,63120,25000,3530,34590
7, , ,"[TRVch# 524 Dt:05/08/2017] , Billno-KLU03251072017-004",1,98396,60000,2060,36336
8, ,32-2202-01-789-11-S00N-V-P-01-SALARIES,Total,1,16710,0,0,16710
9, , ,"[TRVch# 525 Dt:05/08/2017] , Billno-KLU03251072017-005",1,16710,0,0,16710
0,Grand Total, , ,10,265669,110000,8661,147008
1,KLU03-251-GHS SHARVI,Total, ,10,265669,110000,8661,147008
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,4,83032,25000,3062,54970
3, , ,"[TRVch# 1019 Dt:28/09/2017] , Billno-KLU032512017100010",1,100,0,0,100
4, , ,"[TRVch# 1021 Dt:28/09/2017] , Billno-KLU032512017100012",1,100,0,0,100
5, , ,"[TRVch# 519 Dt:05/09/2017] , Billno-KLU03251082017-001",1,60712,25000,1030,34682
6, , ,"[TRVch# 520 Dt:05/09/2017] , Billno-KLU03251082017-002",1,22120,0,2032,20088
7, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,5,165927,85000,5599,75328
