DDO Code,DDO Name
001,001-SUB POST OFFICE KHUNDIAN
002,002-AE IPH SUB DIV KUNDIAN
003,003-A.E HPPWD SUB DIV KHUNDIAN
200,200-GSSS THILL
201,201-GSSS KHUNDIAN
202,202-HM GHS MAJHIN
203,203-GSSS TIHRI
204,204-GSSS LAGRU
205,205-GSSS NAHLIAN
206,206-GSSS SURANI
207,207-GSSS PIHRI
208,208-GSSS MAHADEV
209,209-GSSS DOLA KHARYANA
210,210-GSSS DHATTI
211,211-PRINCIPAL GSSS BARI KALAN
212,212-GSSS SIALKAR KANGRI
214,214-PRINCIPAL ITI KHUNDIAN
215,215-Govt Degree College Khundian
216,216-PRINCIPAL GOVT DEGREE COLLEGE MAJHEEN
217,217-PRINCIPAL GSSS ALUHA
218,218-PRINCIPAL GSSS PALIAR AT LANGHA
500,500-DISTRICT TREASURY OFFICER DHARAMSALA
501,501-DEPUTY COMMISSIONER DHARAMSALA
505,505-CHIEF MEDICAL OFFICER
509,509-DEPUTY COMMISSIONER STATE TAXES AND EXCISE
510,510-SUPERINTENDENT OF POLICE
519,519-DISTRICT WELFARE OFFICER
525,525-DEPUTY DIRECTOR AGRICULTURE
537,537-TEHSILDAR KUNDIAN
641,"641-E.E. PWD DIVISION,DEHRAGOPIPUR"
950,950-CHIEF ELECTRICAL INSPECTOR
952,952-CONTROLLER PRINTING AND STATIONARY
959,959-NUR INSPECTOR AND CERTIFICATION OFFICER
960,960-SR PLANT PROT. OFFICER SHIMLA
970,970-DIRECTOR COMPOSITE TESTING LAB KANDAGHAT
