,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
4, , ,"[TRVch# 2133 Dt:10/07/2017] , Billno-KNG10215062017-002",1,201785,0,22349,179436
5, , ,"[TRVch# 2213 Dt:10/07/2017] , Billno-KNG102152017100028",1,23911,0,0,23911
6, , ,"[TRVch# 3422 Dt:31/07/2017] , Billno-KNG102152017100032",1,975,0,9,966
7, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,4,967977,343001,65766,559210
8, , ,"[TRVch# 2134 Dt:10/07/2017] , Billno-KNG10215062017-003",1,180143,101000,21680,57463
9, , ,"[TRVch# 2135 Dt:10/07/2017] , Billno-KNG10215062017-004",1,586220,242001,21459,322760
10, , ,"[TRVch# 2136 Dt:10/07/2017] , Billno-KNG10215062017-005",1,197041,0,22618,174423
11, , ,"[TRVch# 3421 Dt:31/07/2017] , Billno-KNG102152017100031",1,4573,0,9,4564
12, ,08-2202-02-109-01-S00N-V-N-02-WAGES,Total,2,13913,0,0,13913
13, , ,"[TRVch# 2214 Dt:10/07/2017] , Billno-KNG102152017100026",1,12013,0,0,12013
14, , ,"[TRVch# 2215 Dt:10/07/2017] , Billno-KNG102152017100027",1,1900,0,0,1900
15, ,08-2202-02-800-01-S00N-V-N-41-GIA GENERAL (Salary),Total,1,14940,0,0,14940
16, , ,"[TRVch# 2216 Dt:10/07/2017] , Billno-KNG102152017100022",1,14940,0,0,14940
0,Grand Total, , ,10,2043077,454001,105628,1483448
1,KNG10-215-GSSS ALAMPUR,Total, ,10,2043077,454001,105628,1483448
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,1,300000,0,0,300000
3, , ,"[TRVch# 652 Dt:21/08/2017] , Billno-KNG102152017100035",1,300000,0,0,300000
4, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,3,643794,123000,30841,489953
5, , ,"[TRVch# 1849 Dt:08/08/2017] , Billno-KNG10215072017-001",1,440795,123000,8492,309303
6, , ,"[TRVch# 1850 Dt:08/08/2017] , Billno-KNG10215072017-002",1,201985,0,22349,179636
7, , ,"[TRVch# 3345 Dt:31/08/2017] , Billno-KNG102152017000001",1,1014,0,0,1014
8, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,5,1086263,331001,74787,680475
9, , ,"[TRVch# 1851 Dt:08/08/2017] , Billno-KNG10215072017-003",1,180243,101000,21680,57563
10, , ,"[TRVch# 1852 Dt:08/08/2017] , Billno-KNG10215072017-004",1,619783,230001,21489,368293
11, , ,"[TRVch# 1853 Dt:08/08/2017] , Billno-KNG10215072017-005",1,197291,0,22618,174673
12, , ,"[TRVch# 2727 Dt:21/08/2017] , Billno-KNG102152017100036",1,88196,0,9000,79196
13, , ,"[TRVch# 2728 Dt:21/08/2017] , Billno-KNG102152017100037",1,750,0,0,750
14, ,08-2202-02-109-01-S00N-V-N-02-WAGES,Total,1,13020,0,0,13020
15, , ,"[TRVch# 1918 Dt:08/08/2017] , Billno-KNG102152017100033",1,13020,0,0,13020
0,Grand Total, , ,9,2011144,439001,107075,1465068
1,KNG10-215-GSSS ALAMPUR,Total, ,9,2011144,439001,107075,1465068
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,1,300000,0,0,300000
3, , ,"[TRVch# 322 Dt:15/09/2017] , Billno-KNG102152017100044",1,300000,0,0,300000
4, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,664354,108000,38134,518220
5, , ,"[TRVch# 2284 Dt:08/09/2017] , Billno-KNG10215082017-001",1,400156,108000,8162,283994
6, , ,"[TRVch# 2285 Dt:08/09/2017] , Billno-KNG10215082017-002",1,264198,0,29972,234226
7, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,1014769,331001,68941,614827
8, , ,"[TRVch# 2286 Dt:08/09/2017] , Billno-KNG10215082017-003",1,183264,101000,24680,57584
9, , ,"[TRVch# 2287 Dt:08/09/2017] , Billno-KNG10215082017-004",1,629350,230001,21489,377860
10, , ,"[TRVch# 2288 Dt:08/09/2017] , Billno-KNG10215082017-005",1,202155,0,22772,179383
11, ,08-2202-02-109-01-S00N-V-N-02-WAGES,Total,2,14603,0,0,14603
12, , ,"[TRVch# 2374 Dt:08/09/2017] , Billno-KNG102152017100040",1,13020,0,0,13020
