,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,97401,0,5949,91452
3, , ,"[TRVch# 194 Dt:01/09/2017] , Billno-MDI00250082017-001",1,39406,0,2094,37312
4, , ,"[TRVch# 195 Dt:01/09/2017] , Billno-MDI00250082017-002",1,57995,0,3855,54140
5, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,7,424682,140000,22207,262475
6, , ,"[TRVch# 196 Dt:01/09/2017] , Billno-MDI00250082017-003",1,77895,30000,6860,41035
7, , ,"[TRVch# 197 Dt:01/09/2017] , Billno-MDI00250082017-004",1,189125,75000,5120,109005
8, , ,"[TRVch# 198 Dt:01/09/2017] , Billno-MDI00250082017-005",1,131094,35000,8133,87961
9, , ,"[TRVch# 199 Dt:01/09/2017] , Billno-MDI00250082017-006",1,22696,0,2094,20602
10, , ,"[TRVch# 2339 Dt:15/09/2017] , Billno-MDI002502017100015",1,1504,0,0,1504
11, , ,"[TRVch# 2340 Dt:15/09/2017] , Billno-MDI002502017100014",1,624,0,0,624
12, , ,"[TRVch# 2393 Dt:19/09/2017] , Billno-MDI002502017100016",1,1744,0,0,1744
0,Grand Total, , ,11,577532,145173,28598,403761
1,MDI00-250-GSSS NISHU,Total, ,11,577532,145173,28598,403761
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,4,122088,0,6829,115259
3, , ,"[TRVch# 2156 Dt:11/10/2017] , Billno-MDI002502017100018",1,2830,0,282,2548
4, , ,"[TRVch# 2157 Dt:11/10/2017] , Billno-MDI002502017100019",1,4926,0,495,4431
5, , ,"[TRVch# 240 Dt:03/10/2017] , Billno-MDI00250092017-001",1,55668,0,2130,53538
6, , ,"[TRVch# 241 Dt:03/10/2017] , Billno-MDI00250092017-002",1,58664,0,3922,54742
7, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,7,455444,145173,21769,288502
8, , ,"[TRVch# 2158 Dt:11/10/2017] , Billno-MDI002502017100020",1,10272,10272,0,0
9, , ,"[TRVch# 2159 Dt:11/10/2017] , Billno-MDI002502017100021",1,16141,14901,0,1240
10, , ,"[TRVch# 2160 Dt:11/10/2017] , Billno-MDI002502017100023",1,2830,0,282,2548
11, , ,"[TRVch# 242 Dt:03/10/2017] , Billno-MDI00250092017-003",1,79179,30000,6860,42319
12, , ,"[TRVch# 243 Dt:03/10/2017] , Billno-MDI00250092017-004",1,206432,55000,4292,147140
13, , ,"[TRVch# 244 Dt:03/10/2017] , Billno-MDI00250092017-005",1,117532,35000,8205,74327
14, , ,"[TRVch# 245 Dt:03/10/2017] , Billno-MDI00250092017-006",1,23058,0,2130,20928
0,Grand Total, , ,9,567376,128116,31232,408028
1,MDI00-250-GSSS NISHU,Total, ,9,567376,128116,31232,408028
