DDO Code,DDO Name
001,001-SUB POST OFFICE BAROH
200,200-GSSS BAROH
201,201-PR GSSS SUNHI
202,202-GSSS BALUGLOA
203,203-GSSS KANDI DHOLRAN
204,204-GSSS SADOON BARGRAN
205,205-GSSS AERLA
206,206-PRINCIPAL GSSS SAROTRI
207,207-GSSS RAJIANA BAANDH
208,208-GSSS JASSAI
209,209-GHS LUHNA
210,210-GSSS THANA BADGRAN
211,211-PRINCIPAL GSSS KHARATH
212,212-PRINCIPAL ITI BAROH
213,213-Principal Govt. Degree College Baroh
214,214-PRINCIPAL GSSS JANDRAH
500,500-DISTRICT TREASURY OFFICER DHARAMSALA
501,501-DEPUTY COMMISSIONER DHARAMSALA
509,509-DEPUTY COMMISSIONER STATE TAXES AND EXCISE
525,525-DEPUTY DIRECTOR AGRICULTURE
537,537-TEHSILDAR BAROH
950,950-CHIEF ELECTRICAL INSPECTOR
952,952-CONTROLLER PRINTING AND STATIONARY
959,959-NUR INSPECTOR AND CERTIFICATION OFFICER
960,960-SR PLANT PROT. OFFICER SHIMLA
970,970-DIRECTOR COMPOSITE TESTING LAB KANDAGHAT
