,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
7, , ,"[TRVch# 707 Dt:08/11/2017] , Billno-MDI02260102017-003",1,58182,20000,1530,36652
8, , ,"[TRVch# 708 Dt:08/11/2017] , Billno-MDI02260102017-004",1,75703,0,3703,72000
0,Grand Total, , ,5,345833,45000,35149,265684
1,MDI02-260-PRINCIPAL GSSS KUTGARH,Total, ,5,345833,45000,35149,265684
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,1,114582,0,11944,102638
3, , ,"[TRVch# 639 Dt:06/12/2017] , Billno-MDI02260112017-001",1,114582,0,11944,102638
4, ,08-2202-01-101-03-S00N-V-N-03-TRAVEL EXPENSES,Total,1,1938,0,0,1938
5, , ,"[TRVch# 3221 Dt:30/12/2017] , Billno-MDI022602017100013",1,1938,0,0,1938
6, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,229313,45000,23205,161108
7, , ,"[TRVch# 640 Dt:06/12/2017] , Billno-MDI02260112017-002",1,95428,25000,16140,54288
8, , ,"[TRVch# 641 Dt:06/12/2017] , Billno-MDI02260112017-003",1,58182,20000,1610,36572
9, , ,"[TRVch# 642 Dt:06/12/2017] , Billno-MDI02260112017-004",1,75703,0,5455,70248
0,Grand Total, , ,4,346741,45000,36117,265624
1,MDI02-260-PRINCIPAL GSSS KUTGARH,Total, ,4,346741,45000,36117,265624
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,1,114582,0,13324,101258
3, , ,"[TRVch# 660 Dt:09/01/2018] , Billno-MDI02260122017-001",1,114582,0,13324,101258
4, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,232159,45000,22793,164366
5, , ,"[TRVch# 661 Dt:09/01/2018] , Billno-MDI02260122017-002",1,95428,25000,16060,54368
6, , ,"[TRVch# 662 Dt:09/01/2018] , Billno-MDI02260122017-003",1,59907,20000,1530,38377
7, , ,"[TRVch# 663 Dt:09/01/2018] , Billno-MDI02260122017-004",1,76824,0,5203,71621
0,Grand Total, , ,10,551809,56198,40693,454918
1,MDI02-260-PRINCIPAL GSSS KUTGARH,Total, ,10,551809,56198,40693,454918
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,122706,0,14142,108564
3, , ,"[TRVch# 2705 Dt:22/02/2018] , Billno-MDI022602017100017",1,6955,0,700,6255
4, , ,"[TRVch# 645 Dt:07/02/2018] , Billno-MDI02260012018-001",1,115751,0,13442,102309
5, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,6,284733,56198,26551,201984
6, , ,"[TRVch# 2706 Dt:22/02/2018] , Billno-MDI022602017100018",1,6854,6854,0,0
7, , ,"[TRVch# 2707 Dt:22/02/2018] , Billno-MDI022602017100019",1,4344,4344,0,0
8, , ,"[TRVch# 2708 Dt:22/02/2018] , Billno-MDI022602017100020",1,4726,0,480,4246
9, , ,"[TRVch# 646 Dt:07/02/2018] , Billno-MDI02260012018-002",1,96593,25000,16060,55533
10, , ,"[TRVch# 647 Dt:07/02/2018] , Billno-MDI02260012018-003",1,60631,20000,1530,39101
11, , ,"[TRVch# 648 Dt:07/02/2018] , Billno-MDI02260012018-004",1,111585,0,8481,103104
12, ,15-2202-02-109-01-S00B-V-N-33-MATERIAL AND SUPPLY,Total,1,123310,0,0,123310
13, , ,"[TRVch# 4091 Dt:28/02/2018] , Billno-MDI022602017100022",1,123310,0,0,123310
14, ,32-2202-01-789-15-S00N-V-P-41-GIA GENERAL (Salary),Total,1,21060,0,0,21060
15, , ,"[TRVch# 2704 Dt:22/02/2018] , Billno-MDI022602017100016",1,21060,0,0,21060
0,Grand Total, , ,14,662677,131294,142238,389145
1,MDI02-260-PRINCIPAL GSSS KUTGARH,Total, ,14,662677,131294,142238,389145
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,3,190907,0,24658,166249
3, , ,"[TRVch# 637 Dt:07/03/2018] , Billno-MDI02260022018-001",1,119273,0,21766,97507
4, , ,"[TRVch# 6550 Dt:28/03/2018] , Billno-MDI022602017100026",1,314,0,0,314
5, , ,"[TRVch# 6553 Dt:28/03/2018] , Billno-MDI022602017100032",1,71320,0,2892,68428
6, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,8,452512,131294,117580,203638
7, , ,"[TRVch# 638 Dt:07/03/2018] , Billno-MDI02260022018-002",1,99698,25000,64060,10638
8, , ,"[TRVch# 639 Dt:07/03/2018] , Billno-MDI02260022018-003",1,62560,20000,8709,33851
9, , ,"[TRVch# 640 Dt:07/03/2018] , Billno-MDI02260022018-004",1,113947,0,9728,104219
10, , ,"[TRVch# 6551 Dt:28/03/2018] , Billno-MDI022602017100029",1,46631,34645,11986,0
11, , ,"[TRVch# 6552 Dt:28/03/2018] , Billno-MDI022602017100030",1,43223,0,0,43223
12, , ,"[TRVch# 6677 Dt:28/03/2018] , Billno-MDI022602017100033",1,74746,51649,23097,0
13, , ,"[TRVch# 669 Dt:07/03/2018] , Billno-MDI022602017100024",1,153,0,0,153
14, , ,"[TRVch# 670 Dt:07/03/2018] , Billno-MDI022602017100023",1,11554,0,0,11554
