,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
0,Grand Total, , ,6,1036088,129000,4100,902988
1,KLU01-218-PRINCIPAL GSSS PALACH,Total, ,6,1036088,129000,4100,902988
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,1,700000,0,0,700000
3, , ,"[TRVch# 540 Dt:29/04/2017] , Billno-KLU012182017100006",1,700000,0,0,700000
4, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,81987,28000,1720,52267
5, , ,"[TRVch# 305 Dt:06/04/2017] , Billno-KLU01218032017-001",1,18162,0,1690,16472
6, , ,"[TRVch# 306 Dt:06/04/2017] , Billno-KLU01218032017-002",1,63825,28000,30,35795
7, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,254101,101000,2380,150721
8, , ,"[TRVch# 307 Dt:06/04/2017] , Billno-KLU01218032017-003",1,73445,40000,60,33385
9, , ,"[TRVch# 308 Dt:06/04/2017] , Billno-KLU01218032017-004",1,161496,61000,532,99964
10, , ,"[TRVch# 309 Dt:06/04/2017] , Billno-KLU01218032017-005",1,19160,0,1788,17372
0,Grand Total, , ,10,378424,172917,15310,190197
1,KLU01-218-PRINCIPAL GSSS PALACH,Total, ,10,378424,172917,15310,190197
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,4,90836,37189,2940,50707
3, , ,"[TRVch# 810 Dt:08/05/2017] , Billno-KLU01218042017-001",1,18383,0,1712,16671
4, , ,"[TRVch# 811 Dt:08/05/2017] , Billno-KLU01218042017-002",1,65311,32000,1030,32281
5, , ,"[TRVch# 867 Dt:08/05/2017] , Billno-KLU012182017100001",1,1953,0,198,1755
6, , ,"[TRVch# 870 Dt:08/05/2017] , Billno-KLU012182017100004",1,5189,5189,0,0
7, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,6,287588,135728,12370,139490
8, , ,"[TRVch# 812 Dt:08/05/2017] , Billno-KLU01218042017-003",1,74379,40000,5620,28759
9, , ,"[TRVch# 813 Dt:08/05/2017] , Billno-KLU01218042017-004",1,166988,71000,4732,91256
10, , ,"[TRVch# 814 Dt:08/05/2017] , Billno-KLU01218042017-005",1,19394,0,1811,17583
11, , ,"[TRVch# 868 Dt:08/05/2017] , Billno-KLU012182017100002",1,8244,8244,0,0
12, , ,"[TRVch# 869 Dt:08/05/2017] , Billno-KLU012182017100003",1,2099,0,207,1892
13, , ,"[TRVch# 871 Dt:08/05/2017] , Billno-KLU012182017100005",1,16484,16484,0,0
0,Grand Total, , ,6,2745330,178000,15134,2552196
1,KLU01-218-PRINCIPAL GSSS PALACH,Total, ,6,2745330,178000,15134,2552196
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,1,2300000,0,0,2300000
3, , ,"[TRVch# 134 Dt:17/06/2017] , Billno-KLU012182017100007",1,2300000,0,0,2300000
4, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,83694,32000,2742,48952
5, , ,"[TRVch# 422 Dt:07/06/2017] , Billno-KLU01218052017-001",1,18383,0,1712,16671
6, , ,"[TRVch# 423 Dt:07/06/2017] , Billno-KLU01218052017-002",1,65311,32000,1030,32281
7, ,08-2202-01-800-06-S00N-V-P-41-GIA GENERAL (Salary),Total,1,33750,0,0,33750
8, , ,"[TRVch# 986 Dt:22/06/2017] , Billno-KLU012182017100011",1,33750,0,0,33750
9, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,2,327886,146000,12392,169494
10, , ,"[TRVch# 424 Dt:07/06/2017] , Billno-KLU01218052017-003",1,74379,40000,5620,28759
11, , ,"[TRVch# 425 Dt:07/06/2017] , Billno-KLU01218052017-004",1,253507,106000,6772,140735
0,Grand Total, , ,5,570362,148000,12113,410249
1,KLU01-218-PRINCIPAL GSSS PALACH,Total, ,5,570362,148000,12113,410249
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,1,200000,0,0,200000
3, , ,"[TRVch# 428 Dt:31/07/2017] , Billno-KLU012182017100014",1,200000,0,0,200000
4, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,99041,32000,2751,64290
5, , ,"[TRVch# 383 Dt:07/07/2017] , Billno-KLU01218062017-001",1,18383,0,1712,16671
6, , ,"[TRVch# 384 Dt:07/07/2017] , Billno-KLU01218062017-002",1,80658,32000,1039,47619
7, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,2,271321,116000,9362,145959
8, , ,"[TRVch# 385 Dt:07/07/2017] , Billno-KLU01218062017-003",1,74379,40000,5620,28759
9, , ,"[TRVch# 386 Dt:07/07/2017] , Billno-KLU01218062017-004",1,196942,76000,3742,117200
0,Grand Total, , ,6,844500,148000,12113,684387
1,KLU01-218-PRINCIPAL GSSS PALACH,Total, ,6,844500,148000,12113,684387
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,99041,32000,2751,64290
3, , ,"[TRVch# 690 Dt:08/08/2017] , Billno-KLU01218072017-001",1,18383,0,1712,16671
4, , ,"[TRVch# 691 Dt:08/08/2017] , Billno-KLU01218072017-002",1,80658,32000,1039,47619
5, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,2,271321,116000,9362,145959
6, , ,"[TRVch# 692 Dt:08/08/2017] , Billno-KLU01218072017-003",1,74379,40000,5620,28759
7, , ,"[TRVch# 693 Dt:08/08/2017] , Billno-KLU01218072017-004",1,196942,76000,3742,117200
8, ,08-2202-02-109-01-S00N-V-P-05-OFFICE EXPENSES,Total,1,180390,0,0,180390
9, , ,"[TRVch# 979 Dt:31/08/2017] , Billno-KLU012182017100012",1,180390,0,0,180390
10, ,08-2202-02-109-01-S00N-V-P-33-MATERIAL AND SUPPLY,Total,1,293748,0,0,293748
11, , ,"[TRVch# 978 Dt:31/08/2017] , Billno-KLU012182017100013",1,293748,0,0,293748
0,Grand Total, , ,8,377009,148000,12113,216896
1,KLU01-218-PRINCIPAL GSSS PALACH,Total, ,8,377009,148000,12113,216896
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,4,100974,32000,2751,66223
3, , ,"[TRVch# 1094 Dt:29/09/2017] , Billno-KLU012182017100020",1,50,0,0,50
4, , ,"[TRVch# 1095 Dt:29/09/2017] , Billno-KLU012182017100021",1,100,0,0,100
5, , ,"[TRVch# 680 Dt:07/09/2017] , Billno-KLU01218082017-001",1,18728,0,1712,17016
6, , ,"[TRVch# 681 Dt:07/09/2017] , Billno-KLU01218082017-002",1,82096,32000,1039,49057
7, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,4,276035,116000,9362,150673
8, , ,"[TRVch# 1092 Dt:29/09/2017] , Billno-KLU012182017100022",1,50,0,0,50
9, , ,"[TRVch# 1093 Dt:29/09/2017] , Billno-KLU012182017100019",1,200,0,0,200
10, , ,"[TRVch# 682 Dt:07/09/2017] , Billno-KLU01218082017-003",1,75675,40000,5620,30055
11, , ,"[TRVch# 683 Dt:07/09/2017] , Billno-KLU01218082017-004",1,200110,76000,3742,120368
0,Grand Total, , ,8,410493,164224,12383,233886
1,KLU01-218-PRINCIPAL GSSS PALACH,Total, ,8,410493,164224,12383,233886
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,4,112741,38256,3021,71464
3, , ,"[TRVch# 1173 Dt:24/10/2017] , Billno-KLU012182017100015",1,2360,0,240,2120
4, , ,"[TRVch# 1174 Dt:24/10/2017] , Billno-KLU012182017100016",1,7924,6256,0,1668
5, , ,"[TRVch# 448 Dt:09/10/2017] , Billno-KLU01218092017-001",1,19023,0,1742,17281
6, , ,"[TRVch# 449 Dt:09/10/2017] , Billno-KLU01218092017-002",1,83434,32000,1039,50395
7, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,4,297752,125968,9362,162422
8, , ,"[TRVch# 1175 Dt:24/10/2017] , Billno-KLU012182017100018",1,9968,9968,0,0
9, , ,"[TRVch# 1535 Dt:31/10/2017] , Billno-KLU012182017100023",1,4770,0,0,4770
10, , ,"[TRVch# 450 Dt:09/10/2017] , Billno-KLU01218092017-003",1,76921,40000,5620,31301
11, , ,"[TRVch# 451 Dt:09/10/2017] , Billno-KLU01218092017-004",1,206093,76000,3742,126351
0,Grand Total, , ,5,425087,148000,12143,264944
1,KLU01-218-PRINCIPAL GSSS PALACH,Total, ,5,425087,148000,12143,264944
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,102457,32000,2781,67676
3, , ,"[TRVch# 403 Dt:06/11/2017] , Billno-KLU01218102017-001",1,19023,0,1742,17281
4, , ,"[TRVch# 404 Dt:06/11/2017] , Billno-KLU01218102017-002",1,83434,32000,1039,50395
5, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,322630,116000,9362,197268
6, , ,"[TRVch# 405 Dt:06/11/2017] , Billno-KLU01218102017-003",1,76921,40000,5620,31301
7, , ,"[TRVch# 406 Dt:06/11/2017] , Billno-KLU01218102017-004",1,206093,76000,3742,126351
8, , ,"[TRVch# 407 Dt:06/11/2017] , Billno-KLU01218102017-005",1,39616,0,0,39616
0,Grand Total, , ,8,573654,167678,13183,392793
1,KLU01-218-PRINCIPAL GSSS PALACH,Total, ,8,573654,167678,13183,392793
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,102457,32000,3021,67436
3, , ,"[TRVch# 651 Dt:06/12/2017] , Billno-KLU01218112017-001",1,19023,0,1822,17201
