DDO Code,DDO Name
001,001-BLOCK MEDICAL OFFICER NADAUN
002,002-PRINCIPAL ITI NADAUN
003,003-BLOCK DEV. OFFICER NADAUN
004,004-SILK SEEDS PRO. OFFICER NADAUN
005,005-E.O. PANCHAYAT SMITI NADAUN
006,006-PRESIDENT N.A.C.NADAUN
007,007-SUB.DIV.MAGISTRATE NADAUN
008,008-C.D.P.O. NADAUN
009,009-SUB-DIV.AYUR.MEDICAL OFFICER
010,010-CIVIL JUDGE (JR DIVISION) NADAUN
011,011-SUB POST-MASTER NADAUN
012,012-ASSTT DISTT. ATTORNEY NADAUN
013,013-AE PWD SUB DIV NADAUN
014,014-AE IPH SUB DIV NADAUN
200,200-GSSS KASHMIR
201,201-GSSS BADRAN
202,202-GSSS DHANETA
203,203-PR SSS KANGOO
204,204-GSSS JALARI
205,205-GSSS SERA
206,206-PR SSS NADAUN (B)
207,207-PR GSSS RAIL
208,208-GSSS BALDUHAK
209,209-GSSS BARA
210,210-PR SSS (GIRLS) NADAUN
211,211-GSSS BATRAHN
212,212-GSSS Sudhial Bhumpal
213,213-GSSS Gauna Karour
214,214-GSSS JOL SAPPAR
215,215-BEEO NADAUN
216,216-GSSS SANAHI
217,217-GSSS CHORU
218,218-PRINCIPAL GSSS BASARAL
219,219-HM GHS DANGRI
220,220-GHS PANSAI
221,221-PRINCIPAL DIET NADAUN
222,222-PRINCIPAL GOVT DEGREE COLLEGE NADAUN
223,223-HM GHS KOTLA KALLER NADAUN
224,224-HM GHS KOHLA
225,225-HM GHS PALAH BRAHMANA
226,226-GSSS AMLEHAR
227,227-PRINCIPAL GSSS HATHOL
228,228-HM GHS DHANETA (G)
229,229-GHS JANSOOH NDN
230,230-PRINCIPAL GSSS RANGAS
231,231-HM GHS JIWANI
232,232-HM GHS PANYALI
233,233-PRINCIPAL GOVT DEGREE COLLEGE DHANETA
234,234-PRINCIPAL SOA GOVT ITI NADAUN
500,500-DISTRICT TREASURY OFFICER HAMIRPUR
501,501-DEPUTY COMMISSIONER HAMIRPUR
502,502-ADDL.DEPUTY COMMISSIONER  
509,509-DEPUTY COMMISSIONER STATE TAXES AND EXCISE
510,510-SUPERINTENDENT OF POLICE
515,515-ASSTT REGISTRAR COOP SOCIETY
525,525-DEPUTY DIRECTOR AGRICULTURE
529,529-DISTT.FOOD & SUPPLY CONTROLLER HAMIRPUR
634,"634-E.E. PWD DIVISION,HAMIRPUR"
683,683-E.E N.H HPPWD DIVSION HAMIRPUR
738,738-IPH DIVISION HAMIRPUR
822,822-FOREST DIVISION HAMIRPUR
950,950-CHIEF ELECTRICAL INSPECTOR
952,952-CONTROLLER PRINTING AND STATIONARY
959,959-NUR INSPECTOR AND CERTIFICATION OFFICER
960,960-SR PLANT PROT. OFFICER SHIMLA
970,970-DIRECTOR COMPOSITE TESTING LAB KANDAGHAT
