,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
9, , ,"[TRVch# 1464 Dt:31/10/2017] , Billno-KLU022162017100017",1,2744,0,276,2468
10, , ,"[TRVch# 1465 Dt:31/10/2017] , Billno-KLU022162017100018",1,5864,0,0,5864
11, , ,"[TRVch# 581 Dt:09/10/2017] , Billno-KLU02216092017-002",1,115138,25000,25720,64418
12, , ,"[TRVch# 582 Dt:09/10/2017] , Billno-KLU02216092017-003",1,251035,117070,12390,121575
13, , ,"[TRVch# 583 Dt:09/10/2017] , Billno-KLU02216092017-004",1,101046,0,4368,96678
0,Grand Total, , ,4,456443,102070,44448,309925
1,KLU02-216-GSSS SHOWAD,Total, ,4,456443,102070,44448,309925
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,1,50020,0,0,50020
3, , ,"[TRVch# 525 Dt:06/11/2017] , Billno-KLU02216102017-001",1,50020,0,0,50020
4, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,406423,102070,44448,259905
5, , ,"[TRVch# 526 Dt:06/11/2017] , Billno-KLU02216102017-002",1,115138,25000,25720,64418
6, , ,"[TRVch# 527 Dt:06/11/2017] , Billno-KLU02216102017-003",1,190089,77070,14360,98659
7, , ,"[TRVch# 528 Dt:06/11/2017] , Billno-KLU02216102017-004",1,101196,0,4368,96828
0,Grand Total, , ,4,456860,102070,45488,309302
1,KLU02-216-GSSS SHOWAD,Total, ,4,456860,102070,45488,309302
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,1,50020,0,240,49780
3, , ,"[TRVch# 358 Dt:05/12/2017] , Billno-KLU02216112017-001",1,50020,0,240,49780
4, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,406840,102070,45248,259522
5, , ,"[TRVch# 359 Dt:05/12/2017] , Billno-KLU02216112017-002",1,115138,25000,25800,64338
6, , ,"[TRVch# 360 Dt:05/12/2017] , Billno-KLU02216112017-003",1,190089,77070,14600,98419
7, , ,"[TRVch# 361 Dt:05/12/2017] , Billno-KLU02216112017-004",1,101613,0,4848,96765
0,Grand Total, , ,5,461377,102070,44448,314859
1,KLU02-216-GSSS SHOWAD,Total, ,5,461377,102070,44448,314859
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,1,50437,0,0,50437
3, , ,"[TRVch# 529 Dt:09/01/2018] , Billno-KLU02216122017-001",1,50437,0,0,50437
4, ,08-2202-01-101-03-S00N-V-N-05-OFFICE EXPENSES,Total,1,4100,0,0,4100
5, , ,"[TRVch# 978 Dt:30/01/2018] , Billno-KLU022162017100020",1,4100,0,0,4100
6, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,406840,102070,44448,260322
7, , ,"[TRVch# 530 Dt:09/01/2018] , Billno-KLU02216122017-002",1,115138,25000,25720,64418
8, , ,"[TRVch# 531 Dt:09/01/2018] , Billno-KLU02216122017-003",1,190089,77070,14360,98659
9, , ,"[TRVch# 532 Dt:09/01/2018] , Billno-KLU02216122017-004",1,101613,0,4368,97245
0,Grand Total, , ,4,462561,102070,37292,323199
