2011,Parliament/State/Union Territory Legislatures
2012,"President, Vice-President/Governor/Administrator of Union Territories"
2013,Council of Ministers
2014,Administration of Justice
2015,Elections
2016,Audit
2020,Collection of Taxes on Income and Expenditure
2029,Land Revenue
2030,Stamps and Registration
2031,"Collection of Taxes on Wealth, Securities Transaction Tax and Other Taxes"
2035,Collection of Other Taxes on Property and Capital Transactions
2037,Customs
2038,Union Excise Duties
2039,State Excise
2040,"Taxes on Sales, Trade etc."
2041,Taxes on Vehicles
2045,Other Taxes and Duties on Commodities and Services
2046,"Currency, Coinage and Mint"
2047,Other Fiscal Services
2048,Appropriation for reduction or avoidance of Debt
2049,Interest Payments
2051,Public Service Commission
2052,Secretariat-General Services
2053,District Administration
2054,Treasury and Accounts Administration
2055,Police
2056,Jails
2057,Supplies and Disposals
2058,Stationery and Printing
2059,Public Works
2061,External Affairs
2062,Vigilance
2070,Other Administrative Services
2071,Pensions and Other Retirement benefits
2075,Miscellaneous General Services
2076,Defence Services-Army
2077,Defence Services-Navy
2078,Defence Services-Air Force
2079,Defence Services-Ordnance Factories
2080,Defence Services-Research & Development
2202,General Education
2203,Technical Education
2204,Sports and Youth Services
2205,Art and Culture
2210,Medical and Public Health
2211,Family Welfare
2215,Water Supply and Sanitation
2216,Housing
2217,Urban Development
2220,Information and Publicity
2221,Broadcasting
2225,"Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities"
2230,Labour and Employment
2235,Social Security and Welfare
2236,Nutrition
2245,Relief on account of Natural Calamities
2250,Other Social Services
2251,Secretariat - Social Services
2401,Crop Husbandry
2402,Soil and Water Conservation
2403,Animal Husbandry
2404,Dairy Development
2405,Fisheries
2406,Forestry and Wild Life
2407,Plantations
2408,Food Storage and Warehousing
2415,Agricultural Research and Education
2416,Agricultural Financial Institutions
2425,Co-operation
2435,Other Agricultural Programmes
2501,Special Programmes for Rural Development
2505,Rural Employment
2506,Land Reforms
2515,Other Rural Development Programmes
2551,Hill Areas
2552,North Eastern Areas
2553,MPs Local Area Development Scheme
2575,Other Special Areas Programmes
2700,Major Irrigation
2701,Medium Irrigation
2702,Minor Irrigation
2705,Command Area Development
2711,Flood Control and Drainage
2801,Power
2802,Petroleum
2803,Coal and Lignite
2810,New and Renewable Energy
2851,Village and Small Industries
2852,Industries
2853,Non-ferrous Mining and Metallurgical Industries
2875,Other Industries
2885,Other Outlays on Industries and Minerals
3001,"Indian Railways-Policy Formulation, Direction, Research and other Miscellaneous Organisation"
3002,Indian Railways-Commercial Lines-Working Expenses
3003,Indian Railways-Strategic Lines-Working Expenses
3004,Indian Railways-Open Line Works (Revenue)
3005,Payments to General Revenues
3006,Appropriation from Railway Surplus
3007,Repayment of Loans taken from General Revenues
3051,Ports and Light Houses
3052,Shipping
3053,Civil Aviation
3054,Roads and Bridges
3055,Road Transport
3056,Inland Water Transport
3075,Other Transport Services
3201,Postal Services
3225,Telecommunication Services
3230,Dividends to General Revenues
3231,Appropriations from Telecommunications Surplus
3232,Repayment of Loans taken from General Revenues by Telecommunications
3252,Satellite Systems
3275,Other Communication Services
3401,Atomic Energy Research
3402,Space Research
3403,Oceanographic Research
3425,Other Scientific Research
3435,Ecology and Environment
3451,Secretariat-Economic Services
3452,Tourism
3453,Foreign Trade and Export Promotion
3454,Census Surveys and Statistics
3455,Meteorology
3456,Civil Supplies
3465,General Financial and Trading Institutions
3466,International Financial Institutions
3475,Other General Economic Services
3601,Grants-in-aid to State Governments
3602,Grants-in-aid to Union Territory Governments with Legislature
3604,Compensation and Assignments to Local Bodies and Panchayati Raj Institutions
3605,Technical and Economic Co-operation with other countries
3606,Aid Materials and Equipments
4046,"Capital Outlay on Currency, Coinage and Mint"
4047,Capital Outlay on other Fiscal Services
4055,Capital Outlay on Police
4058,Capital Outlay on Stationery and Printing
4059,Capital Outlay on Public Works
4070,Capital Outlay on other Administrative Services
4075,Capital Outlay on Miscellaneous General Services
4076,Capital Outlay on Defence Services
