,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
0,Grand Total, , ,8,831052,58000,8886,764166
1,SML07-211-GSSS KHASHADHAR,Total, ,8,831052,58000,8886,764166
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,1,400000,0,0,400000
3, , ,"[TRVch# 596 Dt:29/04/2017] , Billno-SML072112017100007",1,400000,0,0,400000
4, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,3,205177,0,7221,197956
5, , ,"[TRVch# 418 Dt:29/04/2017] , Billno-SML07211032017-001",1,22616,0,2126,20490
6, , ,"[TRVch# 419 Dt:29/04/2017] , Billno-SML07211032017-002",1,65098,0,0,65098
7, , ,"[TRVch# 420 Dt:29/04/2017] , Billno-SML07211032017-003",1,117463,0,5095,112368
8, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,4,225875,58000,1665,166210
9, , ,"[TRVch# 421 Dt:29/04/2017] , Billno-SML07211032017-004",1,75542,20000,60,55482
10, , ,"[TRVch# 422 Dt:29/04/2017] , Billno-SML07211032017-005",1,68882,25000,30,43852
11, , ,"[TRVch# 423 Dt:29/04/2017] , Billno-SML07211032017-006",1,48253,13000,1566,33687
12, , ,"[TRVch# 424 Dt:29/04/2017] , Billno-SML07211032017-007",1,33198,0,9,33189
0,Grand Total, , ,7,442787,70000,16096,356691
1,SML07-211-GSSS KHASHADHAR,Total, ,7,442787,70000,16096,356691
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,3,212724,0,8315,204409
3, , ,"[TRVch# 3735 Dt:31/05/2017] , Billno-SML07211042017-001",1,22895,0,2154,20741
4, , ,"[TRVch# 3736 Dt:31/05/2017] , Billno-SML07211042017-002",1,68398,0,0,68398
5, , ,"[TRVch# 3737 Dt:31/05/2017] , Billno-SML07211042017-003",1,121431,0,6161,115270
6, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,4,230063,70000,7781,152282
7, , ,"[TRVch# 3738 Dt:31/05/2017] , Billno-SML07211042017-004",1,76499,30000,3560,42939
8, , ,"[TRVch# 3739 Dt:31/05/2017] , Billno-SML07211042017-005",1,70107,25000,2605,42502
9, , ,"[TRVch# 3740 Dt:31/05/2017] , Billno-SML07211042017-006",1,48855,15000,1586,32269
10, , ,"[TRVch# 3741 Dt:31/05/2017] , Billno-SML07211042017-007",1,34602,0,30,34572
0,Grand Total, , ,6,365421,40000,12545,312876
1,SML07-211-GSSS KHASHADHAR,Total, ,6,365421,40000,12545,312876
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,3,212724,0,8315,204409
3, , ,"[TRVch# 1225 Dt:30/06/2017] , Billno-SML07211052017-001",1,22895,0,2154,20741
4, , ,"[TRVch# 1226 Dt:30/06/2017] , Billno-SML07211052017-002",1,68398,0,0,68398
5, , ,"[TRVch# 1227 Dt:30/06/2017] , Billno-SML07211052017-003",1,121431,0,6161,115270
6, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,152697,40000,4230,108467
7, , ,"[TRVch# 1228 Dt:30/06/2017] , Billno-SML07211052017-004",1,69240,25000,2614,41626
8, , ,"[TRVch# 1229 Dt:30/06/2017] , Billno-SML07211052017-005",1,48855,15000,1586,32269
9, , ,"[TRVch# 1230 Dt:30/06/2017] , Billno-SML07211052017-006",1,34602,0,30,34572
0,Grand Total, , ,6,392396,40000,12657,339739
1,SML07-211-GSSS KHASHADHAR,Total, ,6,392396,40000,12657,339739
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,3,227999,0,8427,219572
3, , ,"[TRVch# 2101 Dt:31/07/2017] , Billno-SML07211062017-001",1,22895,0,2154,20741
4, , ,"[TRVch# 2102 Dt:31/07/2017] , Billno-SML07211062017-002",1,82625,0,9,82616
5, , ,"[TRVch# 2104 Dt:31/07/2017] , Billno-SML07211062017-004",1,122479,0,6264,116215
6, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,164397,40000,4230,120167
7, , ,"[TRVch# 2103 Dt:31/07/2017] , Billno-SML07211062017-003",1,48855,15000,1586,32269
8, , ,"[TRVch# 2105 Dt:31/07/2017] , Billno-SML07211062017-005",1,80940,25000,2614,53326
9, , ,"[TRVch# 2106 Dt:31/07/2017] , Billno-SML07211062017-006",1,34602,0,30,34572
0,Grand Total, , ,6,397278,40000,13025,344253
1,SML07-211-GSSS KHASHADHAR,Total, ,6,397278,40000,13025,344253
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,3,232409,0,8749,223660
3, , ,"[TRVch# 353 Dt:05/08/2017] , Billno-SML07211072017-001",1,22895,0,2154,20741
4, , ,"[TRVch# 354 Dt:05/08/2017] , Billno-SML07211072017-002",1,83745,0,9,83736
5, , ,"[TRVch# 355 Dt:05/08/2017] , Billno-SML07211072017-003",1,125769,0,6586,119183
6, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,164869,40000,4276,120593
7, , ,"[TRVch# 356 Dt:05/08/2017] , Billno-SML07211072017-004",1,80940,25000,2614,53326
8, , ,"[TRVch# 357 Dt:05/08/2017] , Billno-SML07211072017-005",1,49327,15000,1632,32695
9, , ,"[TRVch# 358 Dt:05/08/2017] , Billno-SML07211072017-006",1,34602,0,30,34572
0,Grand Total, , ,7,453052,40000,13140,399912
1,SML07-211-GSSS KHASHADHAR,Total, ,7,453052,40000,13140,399912
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,3,235495,0,8864,226631
3, , ,"[TRVch# 1489 Dt:05/09/2017] , Billno-SML07211082017-001",1,23934,0,2218,21716
4, , ,"[TRVch# 1490 Dt:05/09/2017] , Billno-SML07211082017-002",1,84301,0,9,84292
5, , ,"[TRVch# 1491 Dt:05/09/2017] , Billno-SML07211082017-003",1,127260,0,6637,120623
6, ,08-2202-01-800-06-S00N-V-P-41-GIA GENERAL (Salary),Total,1,35463,0,0,35463
7, , ,"[TRVch# 2704 Dt:29/09/2017] , Billno-SML072112017100008",1,35463,0,0,35463
8, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,182094,40000,4276,137818
9, , ,"[TRVch# 1492 Dt:05/09/2017] , Billno-SML07211082017-004",1,96782,25000,2614,69168
10, , ,"[TRVch# 1493 Dt:05/09/2017] , Billno-SML07211082017-005",1,50137,15000,1632,33505
11, , ,"[TRVch# 1494 Dt:05/09/2017] , Billno-SML07211082017-006",1,35175,0,30,35145
0,Grand Total, , ,20,597990,117986,20102,459902
1,SML07-211-GSSS KHASHADHAR,Total, ,20,597990,117986,20102,459902
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,8,257843,0,10887,246956
3, , ,"[TRVch# 1161 Dt:06/10/2017] , Billno-SML07211092017-001",1,24317,0,2257,22060
4, , ,"[TRVch# 1162 Dt:06/10/2017] , Billno-SML07211092017-002",1,84857,0,9,84848
5, , ,"[TRVch# 1163 Dt:06/10/2017] , Billno-SML07211092017-003",1,128232,0,6735,121497
6, , ,"[TRVch# 2423 Dt:31/10/2017] , Billno-SML072112017100005",1,2503,0,251,2252
7, , ,"[TRVch# 2424 Dt:31/10/2017] , Billno-SML072112017100006",1,6005,0,603,5402
8, , ,"[TRVch# 2495 Dt:31/10/2017] , Billno-SML072112017100012",1,7292,0,735,6557
9, , ,"[TRVch# 2496 Dt:31/10/2017] , Billno-SML072112017100011",1,1650,0,0,1650
10, , ,"[TRVch# 2497 Dt:31/10/2017] , Billno-SML072112017100010",1,2987,0,297,2690
11, ,08-2202-01-800-06-S00N-V-P-41-GIA GENERAL (Salary),Total,1,27300,0,0,27300
12, , ,"[TRVch# 2491 Dt:31/10/2017] , Billno-SML072112017100009",1,27300,0,0,27300
13, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,11,312847,117986,9215,185646
14, , ,"[TRVch# 1164 Dt:06/10/2017] , Billno-SML07211092017-004",1,79636,40000,4060,35576
15, , ,"[TRVch# 1165 Dt:06/10/2017] , Billno-SML07211092017-005",1,101274,30000,2614,68660
