,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
0,Grand Total, , ,5,625664,75000,12602,538062
1,MDI03-207-GSSS  CHEUNI,Total, ,5,625664,75000,12602,538062
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,3,149119,0,2006,147113
3, , ,"[TRVch# 538 Dt:07/04/2017] , Billno-MDI03207032017-001",1,40565,0,0,40565
4, , ,"[TRVch# 539 Dt:07/04/2017] , Billno-MDI03207032017-002",1,69237,0,2006,67231
5, , ,"[TRVch# 540 Dt:07/04/2017] , Billno-MDI03207032017-003",1,39317,0,0,39317
6, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,2,476545,75000,10596,390949
7, , ,"[TRVch# 541 Dt:07/04/2017] , Billno-MDI03207032017-004",1,82933,0,60,82873
8, , ,"[TRVch# 542 Dt:07/04/2017] , Billno-MDI03207032017-005",1,393612,75000,10536,308076
0,Grand Total, , ,20,1741819,104472,25120,1612227
1,MDI03-207-GSSS  CHEUNI,Total, ,20,1741819,104472,25120,1612227
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,6,174095,0,2296,171799
3, , ,"[TRVch# 3190 Dt:22/05/2017] , Billno-MDI032072017100013",1,90,0,0,90
4, , ,"[TRVch# 3191 Dt:22/05/2017] , Billno-MDI032072017100014",1,2367,0,234,2133
5, , ,"[TRVch# 3192 Dt:22/05/2017] , Billno-MDI032072017100015",1,90,0,0,90
6, , ,"[TRVch# 903 Dt:08/05/2017] , Billno-MDI032072017100002",1,50548,0,15,50533
7, , ,"[TRVch# 904 Dt:08/05/2017] , Billno-MDI032072017100003",1,71900,0,2032,69868
8, , ,"[TRVch# 905 Dt:08/05/2017] , Billno-MDI032072017100004",1,49100,0,15,49085
9, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,6,547424,104472,22824,420128
10, , ,"[TRVch# 3189 Dt:22/05/2017] , Billno-MDI032072017100011",1,20386,0,1949,18437
11, , ,"[TRVch# 3193 Dt:22/05/2017] , Billno-MDI032072017100016",1,9360,0,0,9360
12, , ,"[TRVch# 4577 Dt:31/05/2017] , Billno-MDI032072017100017",1,37328,22472,1276,13580
13, , ,"[TRVch# 906 Dt:08/05/2017] , Billno-MDI032072017100005",1,35779,0,3496,32283
14, , ,"[TRVch# 907 Dt:08/05/2017] , Billno-MDI032072017100006",1,409826,82000,12708,315118
15, , ,"[TRVch# 908 Dt:08/05/2017] , Billno-MDI032072017100007",1,34745,0,3395,31350
16, ,08-2202-02-109-01-S00N-V-N-03-TRAVEL EXPENSES,Total,7,20300,0,0,20300
17, , ,"[TRVch# 3187 Dt:22/05/2017] , Billno-MDI032072017100008",1,2478,0,0,2478
18, , ,"[TRVch# 3188 Dt:22/05/2017] , Billno-MDI032072017100009",1,1378,0,0,1378
19, , ,"[TRVch# 4578 Dt:31/05/2017] , Billno-MDI032072017100018",1,7012,0,0,7012
20, , ,"[TRVch# 4579 Dt:31/05/2017] , Billno-MDI032072017100019",1,435,0,0,435
21, , ,"[TRVch# 4580 Dt:31/05/2017] , Billno-MDI032072017100020",1,5251,0,0,5251
22, , ,"[TRVch# 4581 Dt:31/05/2017] , Billno-MDI032072017100021",1,672,0,0,672
23, , ,"[TRVch# 4582 Dt:31/05/2017] , Billno-MDI032072017100023",1,3074,0,0,3074
24, ,29-2071-01-104-02-S00N-V-N-38-PENSIONS,Total,1,1000000,0,0,1000000
25, , ,"[TRVch# 220 Dt:22/05/2017] , Billno-MDI032072017100010",1,1000000,0,0,1000000
0,Grand Total, , ,6,770447,132000,51886,586561
1,MDI03-207-GSSS  CHEUNI,Total, ,6,770447,132000,51886,586561
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,3,171548,0,2062,169486
3, , ,"[TRVch# 908 Dt:07/06/2017] , Billno-MDI03207052017-001",1,50548,0,15,50533
4, , ,"[TRVch# 909 Dt:07/06/2017] , Billno-MDI03207052017-002",1,71900,0,2032,69868
5, , ,"[TRVch# 910 Dt:07/06/2017] , Billno-MDI03207052017-003",1,49100,0,15,49085
6, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,598899,132000,49824,417075
7, , ,"[TRVch# 3624 Dt:30/06/2017] , Billno-MDI032072017100033",1,76647,25000,8386,43261
8, , ,"[TRVch# 3625 Dt:30/06/2017] , Billno-MDI032072017100034",1,76647,25000,8386,43261
9, , ,"[TRVch# 911 Dt:07/06/2017] , Billno-MDI03207052017-004",1,445605,82000,33052,330553
0,Grand Total, , ,11,3187034,117000,45562,3024472
1,MDI03-207-GSSS  CHEUNI,Total, ,11,3187034,117000,45562,3024472
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,1,2391267,0,0,2391267
3, , ,"[TRVch# 792 Dt:29/07/2017] , Billno-MDI032072017100040",1,2391267,0,0,2391267
4, ,00-8011-00-107-02-S00N-V-N-00- ,Total,1,27520,0,0,27520
5, , ,"[TRVch# 47 Dt:29/07/2017] , Billno-MDI032072017100036",1,27520,0,0,27520
6, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,3,172182,0,2124,170058
7, , ,"[TRVch# 853 Dt:10/07/2017] , Billno-MDI03207062017-001",1,50548,0,15,50533
8, , ,"[TRVch# 854 Dt:10/07/2017] , Billno-MDI03207062017-002",1,72534,0,2094,70440
9, , ,"[TRVch# 855 Dt:10/07/2017] , Billno-MDI03207062017-003",1,49100,0,15,49085
10, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,2,529044,117000,43438,368606
11, , ,"[TRVch# 856 Dt:10/07/2017] , Billno-MDI03207062017-004",1,76647,25000,8386,43261
