,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
9, , ,"[TRVch# 80 Dt:22/06/2017] , Billno-KLU045001762030010",1,20,0,20,0
10, , ,"[TRVch# 84 Dt:22/06/2017] , Billno-KLU045001762030014",1,40,0,40,0
11, , ,"[TRVch# 87 Dt:22/06/2017] , Billno-KLU045001762030017",1,30,0,30,0
12, , ,"[TRVch# 91 Dt:22/06/2017] , Billno-KLU045001762030021",1,20,0,20,0
13, ,05-2030-01-102-01-S00N-V-N-20-OTHER CHARGES,Total,1,80,0,80,0
14, , ,"[TRVch# 161 Dt:30/06/2017] , Billno-KLU045001762030034",1,80,0,80,0
15, ,05-2030-02-102-01-S00N-V-N-20-OTHER CHARGES,Total,24,4540,0,4540,0
16, , ,"[TRVch# 150 Dt:30/06/2017] , Billno-KLU045001762030023",1,200,0,200,0
17, , ,"[TRVch# 151 Dt:30/06/2017] , Billno-KLU045001762030024",1,40,0,40,0
18, , ,"[TRVch# 152 Dt:30/06/2017] , Billno-KLU045001762030025",1,200,0,200,0
19, , ,"[TRVch# 153 Dt:30/06/2017] , Billno-KLU045001762030026",1,400,0,400,0
20, , ,"[TRVch# 154 Dt:30/06/2017] , Billno-KLU045001762030027",1,460,0,460,0
21, , ,"[TRVch# 155 Dt:30/06/2017] , Billno-KLU045001762030028",1,80,0,80,0
22, , ,"[TRVch# 157 Dt:30/06/2017] , Billno-KLU045001762030030",1,120,0,120,0
23, , ,"[TRVch# 158 Dt:30/06/2017] , Billno-KLU045001762030031",1,400,0,400,0
24, , ,"[TRVch# 159 Dt:30/06/2017] , Billno-KLU045001762030032",1,120,0,120,0
25, , ,"[TRVch# 160 Dt:30/06/2017] , Billno-KLU045001762030033",1,280,0,280,0
26, , ,"[TRVch# 162 Dt:30/06/2017] , Billno-KLU045001762030035",1,120,0,120,0
27, , ,"[TRVch# 23 Dt:07/06/2017] , Billno-KLU045001762030002",1,400,0,400,0
28, , ,"[TRVch# 74 Dt:22/06/2017] , Billno-KLU045001762030004",1,120,0,120,0
29, , ,"[TRVch# 76 Dt:22/06/2017] , Billno-KLU045001762030006",1,60,0,60,0
30, , ,"[TRVch# 77 Dt:22/06/2017] , Billno-KLU045001762030007",1,60,0,60,0
31, , ,"[TRVch# 79 Dt:22/06/2017] , Billno-KLU045001762030009",1,120,0,120,0
32, , ,"[TRVch# 81 Dt:22/06/2017] , Billno-KLU045001762030011",1,80,0,80,0
33, , ,"[TRVch# 82 Dt:22/06/2017] , Billno-KLU045001762030012",1,400,0,400,0
34, , ,"[TRVch# 83 Dt:22/06/2017] , Billno-KLU045001762030013",1,60,0,60,0
35, , ,"[TRVch# 85 Dt:22/06/2017] , Billno-KLU045001762030015",1,120,0,120,0
36, , ,"[TRVch# 86 Dt:22/06/2017] , Billno-KLU045001762030016",1,200,0,200,0
37, , ,"[TRVch# 88 Dt:22/06/2017] , Billno-KLU045001762030018",1,40,0,40,0
38, , ,"[TRVch# 89 Dt:22/06/2017] , Billno-KLU045001762030019",1,60,0,60,0
39, , ,"[TRVch# 90 Dt:22/06/2017] , Billno-KLU045001762030020",1,400,0,400,0
0,Grand Total, , ,41,5548,0,5548,0
1,KLU04-500-TREASURY OFFICE,Total, ,41,5548,0,5548,0
2, ,05-2030-01-101-01-S00N-V-N-20-OTHER CHARGES,Total,11,280,0,280,0
3, , ,"[TRVch# 104 Dt:21/07/2017] , Billno-KLU045001772030020",1,40,0,40,0
4, , ,"[TRVch# 105 Dt:21/07/2017] , Billno-KLU045001772030021",1,20,0,20,0
5, , ,"[TRVch# 110 Dt:21/07/2017] , Billno-KLU045001772030026",1,20,0,20,0
6, , ,"[TRVch# 137 Dt:31/07/2017] , Billno-KLU045001772030035",1,20,0,20,0
7, , ,"[TRVch# 139 Dt:31/07/2017] , Billno-KLU045001772030037",1,20,0,20,0
8, , ,"[TRVch# 142 Dt:31/07/2017] , Billno-KLU045001772030040",1,40,0,40,0
9, , ,"[TRVch# 22 Dt:07/07/2017] , Billno-KLU045001772030002",1,20,0,20,0
10, , ,"[TRVch# 24 Dt:07/07/2017] , Billno-KLU045001772030004",1,20,0,20,0
11, , ,"[TRVch# 92 Dt:21/07/2017] , Billno-KLU045001772030008",1,20,0,20,0
12, , ,"[TRVch# 95 Dt:21/07/2017] , Billno-KLU045001772030011",1,40,0,40,0
13, , ,"[TRVch# 99 Dt:21/07/2017] , Billno-KLU045001772030015",1,20,0,20,0
14, ,05-2030-02-102-01-S00N-V-N-20-OTHER CHARGES,Total,30,5268,0,5268,0
15, , ,"[TRVch# 100 Dt:21/07/2017] , Billno-KLU045001772030016",1,400,0,400,0
16, , ,"[TRVch# 101 Dt:21/07/2017] , Billno-KLU045001772030017",1,60,0,60,0
17, , ,"[TRVch# 102 Dt:21/07/2017] , Billno-KLU045001772030018",1,80,0,80,0
18, , ,"[TRVch# 103 Dt:21/07/2017] , Billno-KLU045001772030019",1,160,0,160,0
19, , ,"[TRVch# 106 Dt:21/07/2017] , Billno-KLU045001772030022",1,80,0,80,0
20, , ,"[TRVch# 107 Dt:21/07/2017] , Billno-KLU045001772030023",1,288,0,288,0
21, , ,"[TRVch# 108 Dt:21/07/2017] , Billno-KLU045001772030024",1,120,0,120,0
22, , ,"[TRVch# 109 Dt:21/07/2017] , Billno-KLU045001772030025",1,260,0,260,0
23, , ,"[TRVch# 111 Dt:21/07/2017] , Billno-KLU045001772030027",1,120,0,120,0
24, , ,"[TRVch# 112 Dt:21/07/2017] , Billno-KLU045001772030028",1,100,0,100,0
25, , ,"[TRVch# 131 Dt:31/07/2017] , Billno-KLU045001772030029",1,80,0,80,0
26, , ,"[TRVch# 132 Dt:31/07/2017] , Billno-KLU045001772030030",1,240,0,240,0
27, , ,"[TRVch# 133 Dt:31/07/2017] , Billno-KLU045001772030031",1,200,0,200,0
28, , ,"[TRVch# 134 Dt:31/07/2017] , Billno-KLU045001772030032",1,80,0,80,0
29, , ,"[TRVch# 135 Dt:31/07/2017] , Billno-KLU045001772030033",1,160,0,160,0
30, , ,"[TRVch# 136 Dt:31/07/2017] , Billno-KLU045001772030034",1,80,0,80,0
31, , ,"[TRVch# 138 Dt:31/07/2017] , Billno-KLU045001772030036",1,240,0,240,0
32, , ,"[TRVch# 140 Dt:31/07/2017] , Billno-KLU045001772030038",1,600,0,600,0
33, , ,"[TRVch# 141 Dt:31/07/2017] , Billno-KLU045001772030039",1,120,0,120,0
34, , ,"[TRVch# 143 Dt:31/07/2017] , Billno-KLU045001772030041",1,80,0,80,0
35, , ,"[TRVch# 21 Dt:07/07/2017] , Billno-KLU045001772030001",1,200,0,200,0
36, , ,"[TRVch# 23 Dt:07/07/2017] , Billno-KLU045001772030003",1,240,0,240,0
37, , ,"[TRVch# 25 Dt:07/07/2017] , Billno-KLU045001772030005",1,200,0,200,0
38, , ,"[TRVch# 26 Dt:07/07/2017] , Billno-KLU045001772030006",1,160,0,160,0
39, , ,"[TRVch# 27 Dt:07/07/2017] , Billno-KLU045001772030007",1,40,0,40,0
40, , ,"[TRVch# 93 Dt:21/07/2017] , Billno-KLU045001772030009",1,280,0,280,0
41, , ,"[TRVch# 94 Dt:21/07/2017] , Billno-KLU045001772030010",1,200,0,200,0
42, , ,"[TRVch# 96 Dt:21/07/2017] , Billno-KLU045001772030012",1,240,0,240,0
43, , ,"[TRVch# 97 Dt:21/07/2017] , Billno-KLU045001772030013",1,80,0,80,0
44, , ,"[TRVch# 98 Dt:21/07/2017] , Billno-KLU045001772030014",1,80,0,80,0
0,Grand Total, , ,29,3990,0,3990,0
1,KLU04-500-TREASURY OFFICE,Total, ,29,3990,0,3990,0
2, ,05-2030-01-101-01-S00N-V-N-20-OTHER CHARGES,Total,6,130,0,130,0
3, , ,"[TRVch# 153 Dt:31/08/2017] , Billno-KLU045001782030015",1,20,0,20,0
4, , ,"[TRVch# 159 Dt:31/08/2017] , Billno-KLU045001782030021",1,30,0,30,0
5, , ,"[TRVch# 162 Dt:31/08/2017] , Billno-KLU045001782030024",1,20,0,20,0
6, , ,"[TRVch# 59 Dt:19/08/2017] , Billno-KLU045001782030001",1,20,0,20,0
7, , ,"[TRVch# 60 Dt:19/08/2017] , Billno-KLU045001782030002",1,20,0,20,0
8, , ,"[TRVch# 63 Dt:19/08/2017] , Billno-KLU045001782030005",1,20,0,20,0
9, ,05-2030-02-102-01-S00N-V-N-20-OTHER CHARGES,Total,23,3860,0,3860,0
10, , ,"[TRVch# 154 Dt:31/08/2017] , Billno-KLU045001782030016",1,40,0,40,0
11, , ,"[TRVch# 155 Dt:31/08/2017] , Billno-KLU045001782030017",1,160,0,160,0
12, , ,"[TRVch# 156 Dt:31/08/2017] , Billno-KLU045001782030018",1,220,0,220,0
13, , ,"[TRVch# 157 Dt:31/08/2017] , Billno-KLU045001782030019",1,120,0,120,0
